gene,ancestry,method,field_level,n_true,n_false,n_na
C,MID,sh,4,12,8,0
DPB1,SAS,aou,1,17,3,0
DPB1,SAS,aou,2,17,3,0
DPB1,SAS,aou,3,17,3,0
DPB1,SAS,aou,4,0,3,17
DPB1,SAS,sh,1,19,1,0
DPB1,SAS,sh,2,19,1,0
DPB1,SAS,sh,3,19,1,0
DPB1,SAS,sh,4,9,8,3
DPA1,SAS,aou,1,19,1,0
DPA1,SAS,aou,2,19,1,0
DPA1,SAS,aou,3,19,1,0
DPA1,SAS,aou,4,0,1,19
DPA1,SAS,sh,1,20,0,0
DPA1,SAS,sh,2,20,0,0
DPA1,SAS,sh,3,20,0,0
DPA1,SAS,sh,4,14,6,0
DQB1,SAS,aou,1,19,1,0
DQB1,SAS,aou,2,18,2,0
DQB1,SAS,aou,3,18,2,0
DQB1,SAS,aou,4,0,2,18
DQB1,SAS,sh,1,19,1,0
DQB1,SAS,sh,2,18,2,0
DQB1,SAS,sh,3,18,2,0
DQB1,SAS,sh,4,14,5,1
DQA1,SAS,aou,1,20,0,0
DQA1,SAS,aou,2,16,4,0
DQA1,SAS,aou,3,15,5,0
DQA1,SAS,aou,4,0,5,15
DQA1,SAS,sh,1,20,0,0
DQA1,SAS,sh,2,18,2,0
DQA1,SAS,sh,3,17,3,0
DQA1,SAS,sh,4,6,11,3
C,SAS,aou,1,19,1,0
C,SAS,aou,2,18,2,0
C,SAS,aou,3,15,5,0
C,SAS,aou,4,0,5,15
C,SAS,sh,1,19,1,0
C,SAS,sh,2,17,3,0
C,SAS,sh,3,17,3,0
C,SAS,sh,4,8,12,0
B,SAS,aou,1,19,1,0
B,SAS,aou,2,19,1,0
B,SAS,aou,3,19,1,0
B,SAS,aou,4,0,1,19
B,SAS,sh,1,19,1,0
B,SAS,sh,2,19,1,0
B,SAS,sh,3,16,4,0
B,SAS,sh,4,12,8,0
A,SAS,aou,1,19,1,0
A,SAS,aou,2,18,2,0
A,SAS,aou,3,17,3,0
A,SAS,aou,4,0,3,17
A,SAS,sh,1,19,1,0
A,SAS,sh,2,17,3,0
A,SAS,sh,3,14,5,1
A,SAS,sh,4,10,9,1
DRB1,SAS,aou,1,20,0,0
DRB1,SAS,aou,2,16,4,0
DRB1,SAS,aou,3,16,4,0
DRB1,SAS,aou,4,0,4,16
DRB1,SAS,sh,1,13,5,0
DRB1,SAS,sh,2,8,10,0
DRB1,SAS,sh,3,8,10,0
DRB1,SAS,sh,4,2,16,0
