n_resolved_genes	n_testable_transitions	n_switches_observed	eligible	detected	n_genes_swapped	n_switches_simulated
9	4	0	True	True	1.0	1.0
5	2	0	True	True	21.0	1.0
16	6	0	True	True	7.0	1.0
9	2	0	True	True	9.0	1.0
14	7	0	True	True	19.0	1.0
15	7	0	True	True	4.0	1.0
16	5	0	True	True	2.0	1.0
18	6	0	True	True	11.0	1.0
15	3	0	True	True	10.0	1.0
18	3	0	True	True	3.0	1.0
10	1	0	True	True	10.0	1.0
24	23	0	True	True	34.0	1.0
10	0	0	False			
20	8	0	True	True	12.0	1.0
13	2	0	True	True	3.0	1.0
20	8	0	True	True	2.0	1.0
22	5	0	True	True	10.0	1.0
11	5	0	True	True	15.0	1.0
16	6	0	True	True	28.0	2.0
13	8	0	True	True	17.0	1.0
16	9	0	True	True	29.0	1.0
17	5	0	True	True	11.0	1.0
6	2	0	True	True	3.0	1.0
17	2	0	True	True	14.0	1.0
13	5	0	True	True	3.0	1.0
16	6	0	True	True	10.0	1.0
22	8	0	True	True	10.0	1.0
21	9	0	True	True	2.0	1.0
17	7	0	True	True	20.0	1.0
14	9	0	True	True	17.0	1.0
14	9	0	True	True	9.0	1.0
14	3	0	True	True	6.0	1.0
11	8	0	True	True	6.0	1.0
10	4	0	True	True	8.0	1.0
16	2	0	True	True	20.0	1.0
9	4	0	True	True	4.0	1.0
17	7	0	True	True	23.0	1.0
11	3	0	True	True	3.0	1.0
15	6	0	True	True	29.0	1.0
15	5	0	True	True	7.0	1.0
13	5	0	True	True	24.0	1.0
14	9	0	True	True	9.0	1.0
8	1	0	True	True	4.0	1.0
6	1	0	True	True	16.0	1.0
16	6	0	True	True	8.0	1.0
17	6	0	True	True	13.0	1.0
20	10	0	True	True	10.0	1.0
11	7	0	True	True	4.0	1.0
20	4	0	True	True	3.0	1.0
16	4	0	True	True	15.0	1.0
16	6	0	True	True	2.0	1.0
12	4	0	True	True	1.0	1.0
12	7	0	True	True	1.0	1.0
10	3	0	True	True	4.0	1.0
9	4	0	True	True	2.0	1.0
21	14	0	True	True	19.0	1.0
16	6	0	True	True	5.0	1.0
15	4	0	True	True	19.0	1.0
16	9	0	True	True	11.0	1.0
18	4	0	True	True	1.0	1.0
17	9	0	True	True	20.0	1.0
16	5	0	True	True	13.0	1.0
15	3	0	True	True	11.0	1.0
15	6	0	True	True	22.0	1.0
19	13	0	True	True	21.0	3.0
15	7	0	True	True	7.0	1.0
8	7	0	True	True	14.0	1.0
14	5	0	True	True	10.0	1.0
13	4	0	True	True	4.0	1.0
19	11	0	True	True	10.0	1.0
23	7	0	True	True	3.0	1.0
19	9	0	True	True	10.0	1.0
17	3	0	True	True	12.0	1.0
14	10	0	True	True	3.0	1.0
3	0	0	False			
19	5	0	True	True	7.0	1.0
19	6	0	True	True	2.0	1.0
17	8	0	True	True	5.0	1.0
11	9	0	True	True	27.0	1.0
14	7	0	True	True	1.0	1.0
17	8	0	True	True	11.0	1.0
17	8	0	True	True	1.0	1.0
9	4	0	True	True	3.0	1.0
14	3	0	True	True	11.0	1.0
13	4	0	True	True	3.0	1.0
22	14	0	True	True	19.0	1.0
17	6	0	True	True	9.0	1.0
18	5	0	True	True	10.0	1.0
13	4	0	True	True	4.0	1.0
11	3	0	True	True	5.0	1.0
17	8	0	True	True	31.0	1.0
11	1	0	True	True	4.0	1.0
16	7	0	True	True	4.0	1.0
12	6	0	True	True	8.0	1.0
16	5	0	True	True	10.0	1.0
12	2	0	True	True	1.0	1.0
17	5	0	True	True	6.0	1.0
20	14	0	True	True	16.0	1.0
14	1	0	True	True	6.0	1.0
19	16	0	True	True	29.0	1.0
6	0	0	False			
15	3	0	True	True	15.0	1.0
12	6	0	True	True	3.0	1.0
14	4	0	True	True	10.0	1.0
8	5	0	True	True	9.0	1.0
20	9	0	True	True	10.0	1.0
11	0	0	False			
22	6	0	True	True	2.0	1.0
9	1	0	True	True	9.0	1.0
22	8	0	True	True	2.0	1.0
11	3	0	True	True	2.0	1.0
14	5	0	True	True	15.0	1.0
15	6	0	True	True	11.0	1.0
17	10	0	True	True	3.0	1.0
18	5	0	True	True	11.0	1.0
11	3	0	True	True	22.0	1.0
15	5	0	True	True	15.0	1.0
15	6	0	True	True	11.0	1.0
7	3	0	True	True	9.0	1.0
18	10	0	True	True	28.0	3.0
12	2	0	True	True	8.0	1.0
6	5	0	True	True	11.0	1.0
16	2	0	True	True	2.0	1.0
18	8	0	True	True	28.0	1.0
23	8	0	True	True	4.0	1.0
10	3	0	True	True	3.0	1.0
20	5	0	True	True	2.0	1.0
11	2	0	True	True	3.0	1.0
2	0	0	False			
9	2	0	True	True	10.0	1.0
6	3	0	True	True	5.0	1.0
18	7	0	True	True	3.0	1.0
13	10	0	True	True	3.0	1.0
13	5	0	True	True	29.0	1.0
