measure	gene	ancestry	n_people	obs_hom	exp_hom	obs_exp_ratio	ci_lo	ci_hi	thin_n
SR_2field	B	EUR	1377	0.06681190994916485	0.06382421394921128	1.046811324653854	0.8402321840127703	1.2493352356681002	False
SR_2field	B	MID	310	0.07096774193548387	0.035634999218302155	1.9915179877157063	1.203412147295356	2.637415210582688	False
SR_2field	B	SAS	1169	0.06330196749358426	0.05110117194549101	1.2387576465194905	0.9789083533507478	1.5508349700713517	False
SR_2field	C	AFR	2401	0.09620991253644315	0.09101298745463014	1.0571009174311927	0.9311639064226077	1.1745957191741603	False
SR_2field	C	AMR	1677	0.08348240906380441	0.0790127158530324	1.0565692896708658	0.9064713974877303	1.2006656820994313	False
SR_2field	C	EAS	1303	0.11435149654643131	0.09506719323339172	1.2028491917889725	1.0460749681511516	1.390416423100881	False
SR_2field	C	EUR	1377	0.09876543209876543	0.09219281744797582	1.0712920467421285	0.9192978484922288	1.2098651845149295	False
SR_2field	C	MID	310	0.15161290322580645	0.0913492104851738	1.6597067716355751	1.2440404982926816	2.0118306964417316	False
SR_2field	C	SAS	1169	0.10265183917878529	0.08491141685087554	1.2089285868243855	1.0054389111741313	1.3903489767499837	False
SR_2field	DPA1	AFR	2401	0.29196168263223654	0.2828781245334405	1.0321112073044807	0.9767804880901211	1.0960143575142962	False
SR_2field	DPA1	AMR	1677	0.6201550387596899	0.594521838149551	1.0431156586104933	1.015459095023385	1.0677390727337264	False
SR_2field	DPA1	EAS	1303	0.40214888718342284	0.39522466241347665	1.0175197183487052	0.9595504407327063	1.0724489018347299	False
SR_2field	DPA1	EUR	1377	0.6753812636165577	0.6793257292961715	0.9941935576565007	0.9755275452013794	1.0121650544131633	False
SR_2field	DPA1	MID	310	0.6451612903225806	0.6303976236385429	1.0234196103069433	0.9756425077160072	1.0716653141863548	False
SR_2field	DPA1	SAS	1169	0.504704875962361	0.4992498040778886	1.0109265378572314	0.9628429376332515	1.0558123928567638	False
SR_2field	DPB1	AFR	2401	0.16118284048313203	0.15540910581848968	1.0371518427715927	0.951113341222289	1.1274726694753947	False
SR_2field	DPB1	AMR	1677	0.22957662492546213	0.180507634651442	1.2718388635958346	1.1702282276676483	1.3670926648031778	False
SR_2field	DPB1	EAS	1303	0.2003069838833461	0.180072267894995	1.1123699735938823	1.0159546855104604	1.2324019112476587	False
SR_2field	DPB1	EUR	1377	0.22294843863471314	0.2220378323666715	1.0041011311375887	0.936165079914614	1.0811345854583967	False
SR_2field	DPB1	MID	310	0.24516129032258063	0.1930585231121997	1.2698806888732925	1.0601515425343713	1.4752264552932375	False
SR_2field	DPB1	SAS	1169	0.22241231822070145	0.20715363697691724	1.0736587658631571	0.9701588166272059	1.160305588824654	False
SR_2field	DQA1	AFR	2401	0.17825905872553102	0.18079271802408928	0.9859858332445631	0.9161059738319548	1.065836102480904	False
SR_2field	DQA1	AMR	1677	0.19200954084675015	0.18101288266846358	1.060750693631169	0.9551070860316493	1.1644453034329487	False
SR_2field	DQA1	EAS	1303	0.18649270913277052	0.1687118019394193	1.1053921953826085	0.9874488212167345	1.2152163729207361	False
SR_2field	DQA1	EUR	1377	0.18155410312273057	0.17847856474523996	1.0172319761864996	0.9103264822283795	1.1291656160703083	False
SR_2field	DQA1	MID	310	0.23870967741935484	0.21360154255041952	1.1175465990045867	0.9397108599520659	1.363234971930164	False
SR_2field	DQA1	SAS	1169	0.17621899059024806	0.16305514772765126	1.0807324579815425	0.9400729619163336	1.2097681532334525	False
SR_2field	DQB1	AFR	2401	0.15285297792586422	0.15338996864893742	0.9964991796542954	0.9098230192125699	1.077605929436718	False
SR_2field	DQB1	AMR	1677	0.15802027429934407	0.14915077963094664	1.0594666329625886	0.9456455586146365	1.1578280316693499	False
SR_2field	DQB1	EAS	1303	0.12586339217191098	0.11843538386979405	1.062717813371409	0.8871599056445688	1.1791848179993671	False
SR_2field	DQB1	EUR	1377	0.14451706608569354	0.13757540793287892	1.050457114807912	0.9326037501667757	1.1755372810235811	False
SR_2field	DQB1	MID	310	0.19032258064516128	0.15214445776225963	1.250933379003254	0.9903972992037232	1.5226209074120645	False
SR_2field	DQB1	SAS	1169	0.1360136869118905	0.11774690120950104	1.1551360206914345	1.0006241630798782	1.2951376434064923	False
SR_2field	DRB1	AFR	2401	0.05705955851728446	0.06466400646609702	0.8824006063899006	0.7677837965420626	1.0221587711453328	False
SR_2field	DRB1	AMR	1677	0.06320810971973763	0.0444058053904148	1.4234199597105246	1.1636464406236553	1.67089215684814	False
SR_2field	DRB1	EAS	1303	0.0920951650038373	0.07179416170862161	1.2827667711701658	1.069740114566668	1.4556514902542532	False
SR_2field	DRB1	EUR	1377	0.08351488743645606	0.08238085025618055	1.0137657863053	0.8416246540723642	1.2025338371203709	False
SR_2field	DRB1	MID	310	0.12580645161290321	0.06516233258637762	1.9306621880998078	1.4075814830546758	2.407528211689308	False
SR_2field	DRB1	SAS	1169	0.10350727117194183	0.0837287464315821	1.236221436284389	1.0691443087625938	1.429063554117542	False
