condition_name,n_people,prevalence_pct,mean_codes_per_affected
Nocturia,377,4.9,5.8
Hand pain,375,4.9,3.5
Elbow joint pain,375,4.9,4.2
Gastro-esophageal reflux disease with esophagitis,371,4.8,5.7
Chronic kidney disease stage 3,371,4.8,19.9
Retention of urine,369,4.8,6.2
Complication due to diabetes mellitus,364,4.7,10.7
Urgent desire to urinate,364,4.7,4.3
Seasonal allergic rhinitis,364,4.7,4.4
Alcohol abuse,363,4.7,7.2
Non-toxic uninodular goiter,362,4.7,11.0
Actinic keratosis,362,4.7,9.3
Amnesia,360,4.7,6.8
Hyperkalemia,360,4.7,6.0
Disorder of upper gastrointestinal tract,359,4.6,2.9
Otitis media,358,4.6,3.0
Seborrheic dermatitis,357,4.6,5.1
Pain in right hand,355,4.6,3.6
Disorder of skin,354,4.6,2.0
Acidosis,352,4.6,3.7
Bacterial infectious disease,352,4.6,2.5
Chronic kidney disease due to hypertension,350,4.5,6.8
Deviated nasal septum,349,4.5,4.9
Abnormal finding on evaluation procedure,347,4.5,2.9
Glaucoma suspect,343,4.4,8.5
Urinary incontinence,343,4.4,5.3
Impaired fasting glycemia,342,4.4,7.3
Disorder of lung,342,4.4,4.5
Vitreous opacities,342,4.4,6.6
Pleural effusion,341,4.4,7.8
Arthropathy,339,4.4,11.4
Congestive heart failure,338,4.4,24.4
Coronary arteriosclerosis,338,4.4,13.6
Swelling of limb,336,4.3,2.6
Cyst of ovary,335,4.3,4.7
Heart failure,333,4.3,11.3
Coronary atherosclerosis,331,4.3,15.3
Sepsis,329,4.3,4.9
Acute posthemorrhagic anemia,328,4.2,2.9
Disorder of breast,327,4.2,3.8
Dental caries,327,4.2,5.0
Wheezing,327,4.2,3.5
Mild intermittent asthma,327,4.2,6.0
Hemangioma of skin and subcutaneous tissue,326,4.2,4.0
Uterine leiomyoma,325,4.2,5.8
Vaginitis,324,4.2,3.0
Degeneration of cervical intervertebral disc,322,4.2,5.4
Upper respiratory tract infection caused by Influenza virus,322,4.2,2.4
Inflamed seborrheic keratosis,320,4.1,4.2
Localized enlarged lymph nodes,318,4.1,3.7
Posttraumatic stress disorder,317,4.1,34.9
Sensorineural hearing loss,317,4.1,5.1
Muscle weakness,316,4.1,6.4
Acute cystitis,314,4.1,2.9
Acute vaginitis,314,4.1,3.8
Disorder of sacrum,313,4.1,7.1
Dysthymia,312,4.0,13.8
Verruca vulgaris,309,4.0,4.5
Thrombocytopenic disorder,307,4.0,9.0
Second trimester pregnancy,306,4.0,10.1
Sprain of ankle,306,4.0,3.6
Angina pectoris,306,4.0,8.4
First trimester pregnancy,306,4.0,7.7
Disorder of shoulder,304,3.9,4.2
"Localized, primary osteoarthritis of the ankle and/or foot",302,3.9,5.0
Disorder of brain,301,3.9,3.6
Peripheral vascular disease,300,3.9,11.4
Degeneration of intervertebral disc,299,3.9,4.3
Injury of free lower limb,299,3.9,3.4
Bipolar disorder,297,3.8,14.8
Spinal stenosis in cervical region,297,3.8,7.2
Hypertrophic condition of skin,296,3.8,2.4
Melena,296,3.8,3.4
Heartburn,294,3.8,3.6
Peripheral neuritis,292,3.8,7.1
Moderate recurrent major depression,292,3.8,26.3
Muscle strain,292,3.8,2.7
Injury of upper extremity,291,3.8,3.6
Migraine without aura,291,3.8,12.1
Scar conditions and fibrosis of skin,290,3.8,3.7
Non-scarring alopecia,289,3.7,4.2
Gallstone,289,3.7,4.1
Foot pain,288,3.7,2.9
Complication of procedure,287,3.7,2.6
Paroxysmal atrial fibrillation,285,3.7,22.1
Joint pain of pelvic region,284,3.7,4.5
Diabetes mellitus,283,3.7,8.8
Localized infection of skin AND/OR subcutaneous tissue,283,3.7,2.6
Allergic rhinitis caused by pollen,281,3.6,11.3
Residual hemorrhoidal skin tags,281,3.6,2.4
Combined form of senile cataract,280,3.6,4.9
Hypoxemia,279,3.6,4.0
Irritable bowel syndrome,279,3.6,9.1
Pain in finger,279,3.6,3.6
Proteinuria,278,3.6,9.7
Peripheral venous insufficiency,278,3.6,7.4
Asteatosis cutis,277,3.6,2.8
Blepharitis,275,3.6,3.6
Disorder of thyroid gland,274,3.5,8.8
Lymphadenopathy,274,3.5,3.9
Pleuritic pain,273,3.5,2.7
"Localized, primary osteoarthritis of the hand",272,3.5,4.8
Enthesopathy,270,3.5,2.7
Hypertensive heart failure,270,3.5,6.0
Generalized aches and pains,270,3.5,3.0
Diabetes mellitus without complication,269,3.5,9.0
Non-neoplastic nevus,267,3.5,3.0
Hypersomnia,267,3.5,4.6
Pain in toe,266,3.4,4.4
Tinea pedis,266,3.4,3.8
Non-toxic multinodular goiter,265,3.4,12.6
Chronic gastritis,265,3.4,2.6
Microscopic hematuria,265,3.4,5.7
Mood disorder,263,3.4,6.9
Acute stress disorder,261,3.4,4.3
Benign neoplasm of transverse colon,261,3.4,2.1
Diverticular disease of colon,261,3.4,5.1
Old myocardial infarction,260,3.4,9.1
Secondary erectile dysfunction,260,3.4,5.4
Acute asthma,260,3.4,4.8
Hypermetropia,260,3.4,4.0
Lung field abnormal,260,3.4,3.9
Pain in lower limb,260,3.4,2.9
Prolapsed lumbar intervertebral disc,257,3.3,3.6
Atherosclerosis of aorta,255,3.3,5.1
Pruritic disorder,254,3.3,2.9
Anorectal disorder,254,3.3,3.3
Inflammatory disorder,254,3.3,3.9
Finding of head and neck region,253,3.3,3.6
Nontraumatic rotator cuff tear,253,3.3,6.7
Urticaria,252,3.3,4.2
Posterior rhinorrhea,251,3.2,3.0
Benign neoplasm of ascending colon,251,3.2,2.2
Recurrent major depression,251,3.2,18.5
Chronic kidney disease due to type 2 diabetes mellitus,251,3.2,15.4
Gout,251,3.2,13.5
Adjustment disorder with depressed mood,250,3.2,4.3
Bilateral hearing loss,248,3.2,3.1
Chronic fatigue syndrome,248,3.2,5.9
Benign paroxysmal positional vertigo,247,3.2,6.9
Infective pneumonia,247,3.2,5.1
Candida infection of genital region,247,3.2,2.7
Cellulitis,247,3.2,2.8
Pain in left arm,246,3.2,2.3
Callosity,244,3.2,5.2
Disorder of nervous system due to type 2 diabetes mellitus,242,3.1,9.5
Acute maxillary sinusitis,242,3.1,2.8
Candidiasis,241,3.1,3.0
Seizure,240,3.1,11.9
Conjunctivitis,239,3.1,2.2
Pure hyperglyceridemia,239,3.1,7.9
Benign prostatic hyperplasia without outflow obstruction,238,3.1,7.2
Atopic dermatitis,238,3.1,6.2
Acne vulgaris,238,3.1,6.1
Glaucoma,237,3.1,12.4
Adjustment disorder,235,3.0,5.5
Epidermoid cyst,235,3.0,2.9
Arthropathy of knee joint,234,3.0,4.8
Chronic pain syndrome,234,3.0,12.4
Suicidal thoughts,234,3.0,5.3
Bleeding from nose,233,3.0,3.8
Swelling,232,3.0,2.5
Tremor,230,3.0,4.3
Disorder of pigmentation,230,3.0,3.0
Senile cataract,229,3.0,5.4
Acute hypoxemic respiratory failure,228,3.0,3.9
Dysphonia,228,3.0,6.8
Precordial pain,228,3.0,2.9
Heart disease,227,2.9,10.7
Iron deficiency,227,2.9,6.2
Disorder of function of stomach,227,2.9,2.9
Benign neoplasm of skin of trunk,226,2.9,3.4
Ventricular premature complex,226,2.9,5.5
Disorder of lipid metabolism,224,2.9,2.9
