condition_name,n_people,prevalence_pct,mean_codes_per_affected
Benign neoplasm of left breast,56,0.7,3.4
Otalgia of left ear,56,0.7,2.6
Varicocele,56,0.7,2.5
Acute ST segment elevation myocardial infarction,55,0.7,8.4
Primary malignant neoplasm of kidney,55,0.7,36.3
Generalized edema,55,0.7,2.8
Endometriosis of uterus,55,0.7,4.0
Portal hypertension,55,0.7,7.3
Perimenopausal disorder,55,0.7,5.0
Gingival disease,55,0.7,3.7
Tooth eruption disorder,55,0.7,2.0
Urinary tract infection in pregnancy,55,0.7,3.5
Intervertebral disc disorder,55,0.7,4.6
Keratoconjunctivitis sicca (excluding Sjögren syndrome),55,0.7,3.8
Acquired deformity of foot,55,0.7,3.8
Chronic kidney disease stage 5,55,0.7,12.2
Disorder of spinal region,55,0.7,2.6
Chronic idiopathic constipation,55,0.7,2.9
Hemangioma of intra-abdominal structure,55,0.7,6.1
Acquired spondylolisthesis,54,0.7,2.1
Cannabis dependence,54,0.7,22.1
Delusional disorder,54,0.7,9.5
Mitral valve prolapse,54,0.7,7.8
Superficial injury of cornea,54,0.7,1.7
Multiple sclerosis,54,0.7,103.5
False labor before 37 completed weeks of gestation,54,0.7,2.7
Secondary pulmonary hypertension,54,0.7,4.0
Schizoaffective disorder,54,0.7,25.7
Difficulty talking,54,0.7,4.3
Postpartum finding,54,0.7,2.6
Blepharitis of right eyelid,54,0.7,3.2
Injury of muscle and tendon at hip and thigh level,54,0.7,3.0
Obsessive-compulsive disorder,54,0.7,25.8
Dental caries extending into dentin,54,0.7,5.7
Retinal vascular disorder,53,0.7,6.9
Acquired absence of breast,53,0.7,8.8
Cystocele,53,0.7,3.1
Abrasion and/or friction burn of multiple sites,53,0.7,1.3
Recurrent aphthous stomatitis,53,0.7,2.9
Benign neoplasm of pituitary gland,53,0.7,23.4
Hepatic failure,53,0.7,6.9
"Benign tumor of soft tissue of head, face and neck",53,0.7,2.1
Injury of muscle and tendon at thorax level,53,0.7,2.1
Closed fracture of nasal bones,53,0.7,3.2
Arteriosclerotic vascular disease,53,0.7,5.7
Congenital heart disease,53,0.7,7.8
Pain associated with internal prosthetic device,53,0.7,3.6
Paroxysmal supraventricular tachycardia,53,0.7,6.8
Localized swelling of right upper limb,53,0.7,2.2
Posterior subcapsular polar senile cataract,53,0.7,3.3
Lump in upper outer quadrant of left breast,53,0.7,2.8
Perforation of tympanic membrane,53,0.7,6.0
Chronic tension-type headache,53,0.7,4.0
Rhabdomyolysis,53,0.7,3.8
Abnormality of organs AND/OR soft tissues of pelvis affecting pregnancy,53,0.7,2.1
Osteopenia,53,0.7,4.7
Pyelonephritis,53,0.7,3.5
Drug abuse in remission,53,0.7,3.7
Primary malignant neoplasm of colon,53,0.7,23.7
Closed fracture of ankle,53,0.7,8.4
Lyme disease,53,0.7,6.0
Cobalamin deficiency,52,0.7,7.1
Pain in testicle,52,0.7,2.4
Contusion of hip,52,0.7,1.9
Paralytic syndrome on one side of the body as late effect of cerebrovascular accident,52,0.7,5.6
Achilles bursitis,52,0.7,4.3
Midline cystocele,52,0.7,4.7
Dyslipidemia,52,0.7,4.2
Contusion of shoulder region,52,0.7,1.8
Disorder of uterus,52,0.7,2.0
Pneumonia caused by SARS-CoV-2,52,0.7,2.5
"Gestation period, 25 weeks",52,0.7,2.4
Irritable bowel syndrome characterized by constipation,52,0.7,5.5
"Drug abuse, continuous",52,0.7,2.1
Mammographic microcalcification of breast,52,0.7,3.3
Impetigo,52,0.7,3.8
Disorder of bilirubin metabolism,52,0.7,3.7
Primary malignant neoplasm of thyroid gland,52,0.7,55.6
Post-laminectomy syndrome,51,0.7,18.7
Seborrheic blepharitis,51,0.7,5.4
Paralytic ectropion,51,0.7,2.1
Lower back injury,51,0.7,2.7
Injury of face,51,0.7,1.8
Chronic total occlusion of coronary artery,51,0.7,2.3
Tear of lateral meniscus of knee,51,0.7,3.7
Myocardial infarction due to demand ischemia,51,0.7,3.0
Foot-drop,51,0.7,8.1
Infection by methicillin sensitive Staphylococcus aureus,50,0.6,3.1
"Recurrent major depressive episodes, mild",50,0.6,10.1
Sialoadenitis,50,0.6,3.5
Disorder of the genitourinary system,50,0.6,2.9
Mild neurocognitive disorder,50,0.6,4.1
Benign neoplasm of choroid,50,0.6,15.5
Movement disorder,50,0.6,3.8
Vitiligo,50,0.6,26.9
Meralgia paresthetica,50,0.6,4.1
Inactive tuberculosis,50,0.6,6.0
Polyarthropathy,50,0.6,2.8
Snapping thumb syndrome,50,0.6,4.5
Adrenal cortical hypofunction,50,0.6,16.9
Functional diarrhea,50,0.6,3.8
Chronic disease of tonsils AND/OR adenoids,50,0.6,2.7
Acute pulmonary edema,50,0.6,2.8
Bursitis of right shoulder,50,0.6,2.6
Nonproliferative retinopathy due to diabetes mellitus,50,0.6,5.2
Hydrocele of testis,50,0.6,3.8
Dilatation of aorta,50,0.6,3.5
Valvular endocarditis,50,0.6,3.5
Disorder of nervous system,50,0.6,5.9
Ataxia,50,0.6,3.9
Drug resistance,50,0.6,2.6
Disorder of connective tissue,50,0.6,6.2
Closed fracture of fibula,50,0.6,3.7
Senile angioma,50,0.6,2.6
Contusion of anterior abdominal wall,50,0.6,2.5
Complete atrioventricular block,49,0.6,14.6
Displacement of cervical intervertebral disc without myelopathy,49,0.6,4.8
Primary hyperparathyroidism,49,0.6,10.8
Toxic diffuse goiter,49,0.6,28.0
Bilateral age-related nuclear cataracts,49,0.6,3.6
Cirrhosis - non-alcoholic,49,0.6,20.5
Acquired deformity of ankle AND/OR foot,49,0.6,3.1
Recurrent acute sinusitis,49,0.6,3.0
Superficial punctate keratitis,49,0.6,3.2
Tinea of perianal region,49,0.6,2.3
Anal and rectal polyp,49,0.6,2.0
Gastrointestinal complication,49,0.6,5.0
Pyogenic infection of skin and subcutaneous tissues caused by bacterium,49,0.6,1.8
Bilateral myopia of eyes,49,0.6,5.1
Olecranon bursitis,49,0.6,2.9
Pinguecula,49,0.6,3.1
Bicipital tenosynovitis,49,0.6,2.4
Acute lower respiratory tract infection,49,0.6,1.6
Late effects of cerebrovascular disease,49,0.6,8.6
"Endocrine, nutritional and metabolic disease complicating pregnancy, childbirth and puerperium",49,0.6,7.0
Injury undetermined whether accidentally or purposely inflicted,48,0.6,2.2
Disorder of knee,48,0.6,2.8
Asymptomatic microscopic hematuria,48,0.6,2.4
Sprain of medial collateral ligament of knee,48,0.6,2.5
Scoliosis of lumbar spine,48,0.6,2.3
Superficial mycosis,48,0.6,2.8
"Recurrent major depressive episodes, severe, with psychosis",48,0.6,15.3
"Attention deficit hyperactivity disorder, combined type",48,0.6,14.5
Patellar tendonitis,48,0.6,5.2
Hyperglycemia due to type 1 diabetes mellitus,48,0.6,23.1
Benign neoplasm of rectum and anal canal,48,0.6,1.8
Telogen effluvium,48,0.6,3.5
Influenza caused by seasonal influenza virus,48,0.6,1.9
Non-Hodgkin's lymphoma (clinical),48,0.6,7.1
Acquired deformity of lower leg,48,0.6,2.8
Viral upper respiratory tract infection,48,0.6,1.4
Osteoarthritis of right knee joint,48,0.6,3.4
Long QT syndrome,48,0.6,2.8
Disorder of tendon of shoulder region,48,0.6,1.8
Hypersomnia with sleep apnea,48,0.6,3.8
Chronic combined systolic and diastolic heart failure,48,0.6,10.0
Nonunion of fracture,47,0.6,8.4
Chronic pansinusitis,47,0.6,5.5
Bacterial infection caused by Klebsiella pneumoniae,47,0.6,1.8
Impaired cognition,47,0.6,4.2
Streptococcus agalactiae infection,47,0.6,1.8
Idiopathic peripheral neuropathy,47,0.6,3.6
Female pelvic peritoneal adhesions,47,0.6,1.7
Overlapping malignant neoplasm of female breast,47,0.6,14.2
Sprain of hand,47,0.6,2.0
Mechanical complication of intrauterine contraceptive device,47,0.6,3.9
Sinus node dysfunction,47,0.6,7.8
Squamous cell carcinoma of skin,47,0.6,3.9
Pain provoked by trauma,47,0.6,1.9
Muscle and tendon injury,47,0.6,9.0
Acute respiratory failure,47,0.6,2.9
Derangement of medial meniscus,47,0.6,2.8
Cellulitis of left upper limb,47,0.6,2.6
Cellulitis of right upper limb,47,0.6,2.8
Melanocytic nevus of region of face,47,0.6,2.4
Uterovaginal prolapse,47,0.6,6.1
Effusion of joint,47,0.6,2.4
Non-thrombocytopenic purpura,47,0.6,3.6
Staphylococcal infectious disease,47,0.6,7.4
Laceration of hand,47,0.6,8.0
Sequela of disorder,47,0.6,3.1
Foot ulcer due to type 2 diabetes mellitus,47,0.6,10.5
Closed fracture of shaft of fibula,47,0.6,4.8
Labyrinthine disorder,47,0.6,2.7
Concussion with loss of consciousness,47,0.6,2.3
Disorder caused by alcohol,46,0.6,5.7
Atrophic condition of skin,46,0.6,2.9
Acute on chronic hypoxemic respiratory failure,46,0.6,4.9
Cervicovaginal cytology: Low grade squamous intraepithelial lesion,46,0.6,3.4
Abrasion of head,46,0.6,1.8
Hydrocele of tunica vaginalis,46,0.6,2.8
Urethritis,46,0.6,3.8
Dental caries on smooth surface penetrating into dentin,46,0.6,4.8
Injury of hand,46,0.6,5.2
Dyssomnia,46,0.6,1.8
Insomnia disorder related to another mental disorder,46,0.6,8.1
Gastrointestinal complication of procedure,46,0.6,3.3
Chronic viral hepatitis B without delta-agent,46,0.6,41.3
Acute subendocardial infarction,46,0.6,7.2
Peroneal tendinitis,46,0.6,5.8
Acute pansinusitis,46,0.6,2.0
Lentiginosis,46,0.6,2.8
Open-angle glaucoma,46,0.6,5.6
Pulmonary embolism with pulmonary infarction,46,0.6,25.8
Bursitis of left shoulder,45,0.6,3.5
Pre-eclampsia,45,0.6,4.2
Adhesive capsulitis of right shoulder,45,0.6,5.2
Onychogryposis,45,0.6,3.0
White blood cell disorder,45,0.6,3.8
Genitourinary tract infection in pregnancy,45,0.6,2.4
Nutritional deficiency disorder,45,0.6,4.9
Calculus of kidney and ureter,45,0.6,2.7
Primary malignant neoplasm of urinary bladder,45,0.6,36.4
Hypertrophy of uterus,45,0.6,2.5
Acute on chronic combined systolic and diastolic heart failure,45,0.6,8.7
Bilateral inguinal hernia,45,0.6,3.3
Open wound of face without complication,45,0.6,1.5
Delayed union of fracture,45,0.6,4.3
Disorder of bronchus,45,0.6,2.4
Intracranial injury with loss of consciousness,45,0.6,3.7
Pterygium,45,0.6,6.6
Benign neoplasm of right breast,45,0.6,4.4
Pruritus of vulva,45,0.6,3.1
Pulmonary arterial hypertension,45,0.6,6.7
Seropositive rheumatoid arthritis,45,0.6,39.6
Crohn's disease of large bowel,45,0.6,13.5
Disorder of autonomic nervous system,45,0.6,12.4
Carcinoma in situ of breast,45,0.6,18.3
Congenital anomaly of spine,44,0.6,2.3
Infection by Trichomonas,44,0.6,2.3
Hereditary thrombophilia,44,0.6,6.1
Cholelithiasis AND cholecystitis without obstruction,44,0.6,2.4
Clostridium difficile colitis,44,0.6,5.8
Group B streptococcus carrier complicating pregnancy,44,0.6,2.2
Hernia of abdominal cavity,44,0.6,3.2
Chronic cholecystitis,44,0.6,1.8
Disorder of cornea,44,0.6,4.9
Sign,44,0.6,3.3
Joint effusion of ankle AND/OR foot,44,0.6,2.2
Cervical spondylosis,44,0.6,2.1
Drug-induced hypotension,44,0.6,3.1
Post-acute COVID-19,44,0.6,3.1
Aphthous ulcer of mouth,44,0.6,2.2
Retinal drusen,44,0.6,4.9
Female pelvic inflammatory disease,44,0.6,2.7
Excess skin of eyelid,44,0.6,3.6
Gastroduodenal disorder,44,0.6,1.6
Autoimmune disease,44,0.6,4.7
Benign neoplasm of meninges,44,0.6,22.1
Paronychia of finger,43,0.6,2.1
Closed fracture of upper end of humerus,43,0.6,10.2
Thrombophlebitis,43,0.6,3.3
Psoriatic arthritis,43,0.6,25.7
Injury of lower limb,43,0.6,1.7
Contusion of finger,43,0.6,2.1
Stomatitis,43,0.6,2.0
"Pulmonary incompetence, non-rheumatic",43,0.6,1.5
Late effect of accidental fall,43,0.6,3.2
Inflammatory disease of female genital structure,43,0.6,1.7
Postpartum hemorrhage,43,0.6,1.9
Rheumatic disease of mitral AND aortic valves,43,0.6,3.7
"Superficial injury of lower limb, excluding foot",43,0.6,1.2
Closed fracture of lateral malleolus,43,0.6,5.5
Alopecia areata,43,0.6,7.4
Osteoarthritis of left knee joint,43,0.6,5.5
Autonomic neuropathy due to type 2 diabetes mellitus,43,0.6,7.9
Osteoarthrosis involving multiple sites but not designated as generalized,43,0.6,5.8
Hypertensive emergency,43,0.6,4.4
Concussion injury of brain,43,0.6,4.7
Benign neoplasm of cerebral meninges,43,0.6,38.2
Ganglion of wrist,43,0.6,3.3
Elbow joint effusion,43,0.6,2.6
Anemia in neoplastic disease,43,0.6,5.5
Aortic aneurysm,43,0.6,9.0
Mucous polyp of cervix,43,0.6,2.3
Closed fracture of carpal bone,42,0.5,9.0
"Disease of the respiratory system complicating pregnancy, childbirth and/or the puerperium",42,0.5,2.3
Plantar nerve lesion,42,0.5,5.1
Mononeuropathy,42,0.5,4.0
Intracerebral vascular finding,42,0.5,11.5
Arteritis,42,0.5,5.7
Myositis,42,0.5,5.7
Closed fracture of medial malleolus,42,0.5,2.8
Complication associated with genitourinary device,42,0.5,2.0
Cerebral atherosclerosis,42,0.5,2.9
Dermatographic urticaria,42,0.5,3.3
Venous thrombosis,42,0.5,8.1
Benign neoplasm of stomach,42,0.5,3.7
Prolapse of female genital organs,42,0.5,6.2
Polyp of cervix,42,0.5,2.3
Elderly primigravida,42,0.5,7.7
Ménière's disease,42,0.5,10.2
Premature rupture of membranes,42,0.5,2.0
Idiopathic peripheral autonomic neuropathy,42,0.5,2.3
Age related macular degeneration,42,0.5,7.5
Optic atrophy,42,0.5,8.7
Retinal edema,41,0.5,8.4
"Disease of the digestive system complicating pregnancy, childbirth and/or the puerperium",41,0.5,4.4
Deficiency anemias,41,0.5,3.8
Pharyngeal dysphagia,41,0.5,3.5
Disorder of capillaries,41,0.5,2.0
Disorder of rotator cuff,41,0.5,2.8
Inflammatory disorder of male genital organ,41,0.5,2.8
Cerebral edema,41,0.5,8.6
Ulcer of esophagus,41,0.5,11.3
Disorder of tongue,41,0.5,4.2
Trigeminal neuralgia,41,0.5,8.8
Post-surgical malabsorption,41,0.5,18.3
Disorder of bursa,41,0.5,2.3
Pre-existing hypertension in obstetric context,41,0.5,6.5
"Superficial injury to head, excluding eye",41,0.5,1.6
Generalized epilepsy,41,0.5,5.3
"Open wound of hand, excluding finger(s)",41,0.5,1.7
Tachypnea,41,0.5,1.5
Internal hemorrhoids grade II,41,0.5,2.9
Maternal hypertension,41,0.5,3.1
Alkalosis,41,0.5,1.8
Bursitis,41,0.5,3.4
Lipoma of skin and subcutaneous tissue of limb,41,0.5,2.9
Candidiasis of the esophagus,41,0.5,3.4
Allergic urticaria,41,0.5,1.9
Mechanical complication of device,41,0.5,3.4
Pregnancy-induced hypertension,41,0.5,4.2
Bursitis of knee,41,0.5,3.1
Ulceration of intestine,41,0.5,3.0
Mild hyperemesis gravidarum,41,0.5,4.7
Abdominal wind pain,40,0.5,2.6
Irregular astigmatism,40,0.5,6.4
Postoperative complication,40,0.5,2.1
Lesion of median nerve,40,0.5,2.1
Intestinal disaccharidase deficiency,40,0.5,5.0
Vascular complication of medical care,40,0.5,2.6
Raynaud's phenomenon,40,0.5,5.1
Knee stiff,40,0.5,10.4
Acquired absence of genital organ,40,0.5,4.0
Derangement of posterior horn of medial meniscus,40,0.5,1.6
Psychoactive substance dependence,40,0.5,12.8
Infection caused by Enterococcus,40,0.5,2.0
Acute diastolic heart failure,40,0.5,4.4
Atrophy of kidney,40,0.5,3.0
Iatrogenic hypotension,40,0.5,1.6
Normal eye position,40,0.5,5.3
Malignant neoplasm of upper lobe of lung,40,0.5,24.6
Localized adiposity,40,0.5,4.5
Toxic diffuse goiter with no crisis,40,0.5,16.1
Appendicitis,40,0.5,7.2
Abdominal aortic aneurysm without rupture,40,0.5,7.4
Closed fracture of metatarsal bone,40,0.5,11.3
Orthopnea,40,0.5,2.2
Allergic rhinitis caused by animal dander,40,0.5,13.4
Acanthosis nigricans,40,0.5,2.0
Anaphylaxis,40,0.5,3.8
Cardiogenic shock,40,0.5,6.4
Normal ocular motility,40,0.5,5.4
Post traumatic osteoarthritis,40,0.5,4.4
Sinusitis,40,0.5,1.9
Disorder of hip joint,40,0.5,3.2
Hepatic fibrosis,40,0.5,6.0
Bursitis of hip,39,0.5,3.2
Streptococcal infectious disease,39,0.5,1.8
Fracture of tooth,39,0.5,2.3
Macular edema due to diabetes mellitus,39,0.5,18.7
Chondromalacia,39,0.5,3.3
Lichen planus,39,0.5,15.1
Adjustment disorder with mixed disturbance of emotions AND conduct,39,0.5,5.0
Cocaine dependence,39,0.5,21.0
Impacted tooth,39,0.5,3.6
Arthropathy of left knee joint,39,0.5,2.5
Disorder of body wall,39,0.5,10.1
Slowing of urinary stream,39,0.5,2.8
Diabetic ketoacidosis without coma,39,0.5,10.6
Hypercoagulability state,39,0.5,13.7
Left heart failure,39,0.5,4.4
Chalazion of upper eyelid,39,0.5,2.4
Nuclear cataract,39,0.5,5.1
Sickle cell trait,39,0.5,10.0
Crohn's disease of small intestine,39,0.5,24.6
Disorder of placenta,39,0.5,1.7
Contusion of eye,39,0.5,3.1
Injury of superior glenoid labrum of shoulder joint,39,0.5,2.8
Auditory hallucinations,39,0.5,2.6
Closed fracture of neck of femur,38,0.5,6.3
Subacute disease,38,0.5,2.3
Chronic gout without tophus,38,0.5,6.4
Acquired deformity of nose,38,0.5,4.1
Keratitis,38,0.5,3.9
Ganglion of hand,38,0.5,3.4
Syncope,38,0.5,1.8
Spontaneous cerebral hemorrhage,38,0.5,4.6
Neoplasm of uncertain behavior of brain,38,0.5,5.6
Hordeolum externum of upper eyelid,38,0.5,1.9
Homicidal thoughts,38,0.5,1.7
Slurred speech,38,0.5,1.6
Disease of non-coronary systemic artery,38,0.5,2.7
Polyneuropathy caused by drug,38,0.5,10.3
Toxic effect of venom,38,0.5,2.8
Atrial septal defect,38,0.5,9.4
Uncomplicated severe persistent asthma,38,0.5,22.1
Irritable bowel syndrome characterized by alternating bowel habit,38,0.5,4.4
Lymphadenitis,38,0.5,2.1
Tobacco dependence in remission,38,0.5,2.7
Curvature of spine,38,0.5,3.6
Hemoglobinopathy,38,0.5,3.7
Chronic tonsillitis,38,0.5,4.8
Rheumatic disease of mitral valve,38,0.5,13.1
Horseshoe retinal tear without detachment,38,0.5,7.0
Chloasma,38,0.5,3.9
Disorder of carbohydrate absorption,38,0.5,6.2
Abscess of lower limb,38,0.5,2.6
Functional disorder of intestine,38,0.5,4.1
Ulcerative stomatitis,38,0.5,2.5
Laceration of index finger,38,0.5,2.1
Laceration of skin of eyelid AND periocular area,38,0.5,1.7
Dementia associated with another disease,38,0.5,9.3
Bilateral localized swelling of lower limbs,38,0.5,1.4
Blurring of visual image,37,0.5,2.1
Viral pneumonia,37,0.5,2.9
Hemiplegia of nondominant side,37,0.5,1.9
Spinal stenosis of thoracic region,37,0.5,2.0
Abnormal uterine bleeding,37,0.5,5.2
Cardiac arrest,37,0.5,9.2
"Infectious disease in mother complicating pregnancy, childbirth AND/OR puerperium",37,0.5,2.4
Open wound of lower limb,37,0.5,2.0
Idiopathic sleep related non-obstructive alveolar hypoventilation,37,0.5,2.4
Otorrhea,37,0.5,3.5
Disorder of calcium metabolism,37,0.5,5.4
Basal cell carcinoma of truncal skin,37,0.5,3.1
Ankle pain,37,0.5,2.6
Chronic frontal sinusitis,37,0.5,2.7
Vertigo,37,0.5,1.8
Disorder of stomach,37,0.5,5.1
Vasomotor rhinitis,37,0.5,2.6
Derangement of shoulder,37,0.5,2.1
Malabsorption syndrome due to intolerance to lactose,37,0.5,6.2
Epididymitis,37,0.5,2.4
Cyst and pseudocyst of pancreas,37,0.5,7.8
Swelling of lower limb,37,0.5,4.7
"Gestation period, 14 weeks",37,0.5,2.1
Mild protein-calorie malnutrition (weight for age 75-89 percent of standard),37,0.5,3.1
Acute low back pain,37,0.5,2.6
Disorder of diaphragm,37,0.5,6.2
Residual foreign body in soft tissue,37,0.5,2.0
Inflammation of cervix,37,0.5,1.9
Localization-related idiopathic epilepsy,37,0.5,15.6
Dribbling of urine,37,0.5,3.0
Bilateral sensory hearing loss,37,0.5,1.7
Late effect of fracture of lower extremities,37,0.5,4.3
Nummular eczema,37,0.5,4.0
Contusion of thigh,37,0.5,3.2
"Combined disorders of mitral, aortic and tricuspid valves",37,0.5,1.6
Respiratory finding of chest,37,0.5,8.3
Atrophy of thyroid - acquired,37,0.5,15.8
Osteoporotic fracture,37,0.5,4.6
Closed fracture of metacarpal bone,36,0.5,4.5
Pathological fracture,36,0.5,2.5
Functional neurological disorder,36,0.5,5.1
"Mixed conductive and sensorineural hearing loss, bilateral",36,0.5,4.7
Cracked tooth,36,0.5,2.1
Contusion of elbow,36,0.5,2.1
Degenerative progressive high myopia,36,0.5,6.2
Acute otitis externa,36,0.5,1.5
Insomnia disorder related to known organic factor,36,0.5,4.4
Gangrenous disorder,36,0.5,4.6
"Viral disease in mother complicating pregnancy, childbirth AND/OR puerperium",36,0.5,4.2
Pregnancy test finding,36,0.5,1.6
Low tension glaucoma,36,0.5,26.5
Psychosexual dysfunction,36,0.5,2.1
Disorder of external ear,36,0.5,1.8
Social phobia,36,0.5,10.4
Left anterior fascicular block,36,0.5,3.1
Aortic valve stenosis,36,0.5,11.5
Lump in upper outer quadrant of right breast,36,0.5,2.1
Acute hypercapnic respiratory failure,36,0.5,2.2
Amblyopia,36,0.5,5.4
Increased blood pressure,36,0.5,3.7
Primary focal hyperhidrosis,36,0.5,3.8
Pain in wrist,36,0.5,3.6
Acute deep venous thrombosis of femoral vein,36,0.5,9.8
Male infertility,36,0.5,4.3
Influenza,36,0.5,1.6
Chalazion of lower eyelid,36,0.5,2.9
Claustrophobia,36,0.5,2.1
Intentional self poisoning,36,0.5,2.9
Hordeolum externum of lower eyelid,36,0.5,2.3
Acute cerebrovascular insufficiency,36,0.5,3.9
Exostosis,35,0.5,1.8
Abscess of peritoneum,35,0.5,8.2
Urolithiasis,35,0.5,3.1
Hypogammaglobulinemia,35,0.5,20.8
Osteonecrosis,35,0.5,9.1
Myoclonus,35,0.5,7.5
Furuncle,35,0.5,2.5
"Anemia in mother complicating pregnancy, childbirth AND/OR puerperium",35,0.5,3.5
Bifascicular block,35,0.5,4.6
Seronegative rheumatoid arthritis,35,0.5,18.8
Primary central sleep apnea,35,0.5,9.7
Bacterial infection caused by Pseudomonas,35,0.5,2.4
Nondependent cocaine abuse in remission,35,0.5,7.0
Refractory migraine with aura,35,0.5,7.5
Esophageal varices without bleeding,35,0.5,6.2
Closed fracture of head of radius,35,0.5,5.2
Lipoprotein deficiency disorder,35,0.5,7.1
Cervical intraepithelial neoplasia grade 1,35,0.5,3.5
Fracture of bone,35,0.5,2.5
Sector and/or arcuate visual field defect,35,0.5,3.7
Cardiomyopathy associated with another disorder,35,0.5,12.5
Pain disorder with psychological factor,35,0.5,4.4
Discharge from nipple,35,0.5,3.9
Ovarian failure,35,0.5,2.3
Non-organic sleep disorder,35,0.5,4.1
Multiple injuries,35,0.5,1.3
Stimulant dependence,35,0.5,18.6
Contusion of wrist,35,0.5,2.2
Suppurative arthritis,35,0.5,7.3
Acute prostatitis,34,0.4,2.5
Clostridioides difficile infection,34,0.4,5.9
Sensation of foreign body in throat,34,0.4,2.1
Varicose veins of bilateral lower limbs,34,0.4,4.0
Malposition of eyelashes,34,0.4,4.0
Intermittent claudication,34,0.4,3.8
Ulcer of duodenum,34,0.4,3.4
Intestinal metaplasia of gastric mucosa,34,0.4,3.4
Brachial plexus disorder,34,0.4,6.0
Benign neoplasm of adrenal gland,34,0.4,4.1
New daily persistent headache,34,0.4,2.5
Vocal cord paralysis,34,0.4,14.0
Atrophy of skeletal muscle of pelvis,34,0.4,3.6
Disorder of salivary gland,34,0.4,5.2
Closed fracture of shaft of tibia,34,0.4,9.8
Disorder of coccyx,34,0.4,2.7
Opioid withdrawal,34,0.4,4.2
Mixed anxiety and depressive disorder,34,0.4,3.8
Contusion of forearm,34,0.4,1.8
Pain in scrotum,34,0.4,2.9
False labor at or after 37 completed weeks of gestation,34,0.4,1.8
Peripheral vascular disorder due to diabetes mellitus,34,0.4,4.9
Malignant melanoma of skin,34,0.4,8.6
Segmental and somatic dysfunction,34,0.4,21.6
Hypertension secondary to endocrine disorder,34,0.4,7.9
Optic neuritis,34,0.4,10.4
Disorder of pulmonary circulation,34,0.4,2.5
Cyst of bursa,34,0.4,3.4
"Localized, primary osteoarthritis of elbow",34,0.4,2.6
Cachexia,34,0.4,3.0
Bone cyst,34,0.4,2.8
Lymphocytosis,34,0.4,9.5
Vitreous hemorrhage,34,0.4,8.8
Contusion of upper arm,34,0.4,3.5
Balanitis,34,0.4,2.6
Complication of internal device,34,0.4,1.8
Disorder of uterine cervix,34,0.4,2.7
Surgical site infection,33,0.4,3.5
Complication due to Crohn's disease,33,0.4,14.9
Acute exacerbation of chronic obstructive bronchitis,33,0.4,2.8
Rhinitis,33,0.4,1.3
Closed fracture of one or more phalanges of hand,33,0.4,1.9
Compression of vein,33,0.4,4.9
Epiphora,33,0.4,3.3
Dupuytren's disease of palm,33,0.4,6.6
Thrombosed external hemorrhoids,33,0.4,2.4
Diastasis of muscle,33,0.4,2.0
Exophthalmos,33,0.4,3.3
Non-organic psychosis,33,0.4,6.5
Phobic disorder,33,0.4,5.3
Chronic prostatitis,33,0.4,3.2
Spondylolysis,33,0.4,4.3
Cellulitis of face,33,0.4,2.6
Keratoconjunctivitis sicca,33,0.4,4.0
Atrioventricular block,33,0.4,4.9
Benign neoplasm of rectosigmoid junction,33,0.4,1.8
Chronic kidney disease stage 5 due to hypertension,33,0.4,4.5
Alcoholic cirrhosis,33,0.4,17.7
Dermatosis of eyelid,33,0.4,5.0
Benign neoplasm of left choroid,33,0.4,8.4
Idiopathic urticaria,33,0.4,10.7
Closed fracture of phalanx of finger,33,0.4,4.0
Disorder due to and following drug poisoning,33,0.4,4.5
Chronic hypoxemic respiratory failure,33,0.4,14.9
Drug resistance to anti-seizure medication,33,0.4,6.9
Disorder of hip,33,0.4,2.2
Disorder of lower limb,33,0.4,2.5
Symptomatic periapical periodontitis,33,0.4,1.6
Exudative age-related macular degeneration,33,0.4,24.6
Burn any degree involving less than 10 percent of body surface,33,0.4,2.5
Abscess of foot,33,0.4,2.2
Rectal hemorrhage,33,0.4,2.8
Trichomonal vulvovaginitis,33,0.4,2.0
Cellulitis of foot,33,0.4,3.4
Disorder of forearm,33,0.4,1.8
Sepsis caused by Gram negative bacteria,33,0.4,1.9
Abdominal tenderness,33,0.4,2.0
Pain of left testicle,33,0.4,3.1
Effusion of joint of hand,32,0.4,2.2
Finding of trunk structure,32,0.4,1.9
Displacement of intervertebral disc without myelopathy,32,0.4,2.7
Benign neoplasm of pituitary gland and craniopharyngeal duct,32,0.4,11.3
Infestation by Sarcoptes scabiei var hominis,32,0.4,2.2
Injury of abdomen,32,0.4,2.0
Psoriasis vulgaris,32,0.4,15.8
Injury of elbow,32,0.4,2.3
Sprain of anterior cruciate ligament of knee,32,0.4,9.1
Neoplasm of digestive tract,32,0.4,4.4
Psychosexual dysfunction associated with inhibited sexual excitement,32,0.4,2.4
Episodic tension-type headache,32,0.4,4.4
Female infertility associated with anovulation,32,0.4,3.0
Aneurysm of thoracic aorta,32,0.4,5.2
Hypopituitarism,32,0.4,11.8
Thoracic back sprain,32,0.4,1.8
Undernutrition,32,0.4,4.4
"Gestation period, 15 weeks",32,0.4,2.1
Visual hallucinations,32,0.4,2.5
Thrombocytosis,32,0.4,5.4
Pulmonary tuberculosis,32,0.4,4.3
Closed fracture of foot,32,0.4,5.2
Abscess,32,0.4,2.0
Wound finding,32,0.4,1.8
Pain of right testicle,32,0.4,2.6
