icd3,n_people,n_distinct_concepts,commonest_name,prevalence_pct
H72,42,3,Perforation of tympanic membrane,0.5
K46,41,2,Hernia of abdominal cavity,0.5
S33,41,6,Lumbar sprain,0.5
T17,41,10,Foreign body in respiratory tract,0.5
M60,41,4,Myositis,0.5
L01,40,5,Impetigo,0.5
D13,40,10,Benign neoplasm of stomach,0.5
S59,40,6,Injury of elbow,0.5
Q61,40,8,Multiple congenital cysts of kidney,0.5
D58,40,2,Hemoglobinopathy,0.5
D56,39,4,Heterozygous thalassemia,0.5
K55,39,6,Angiodysplasia of colon,0.5
O44,39,7,Second trimester pregnancy,0.5
L83,39,1,Acanthosis nigricans,0.5
G58,39,3,Mononeuropathy,0.5
E73,38,2,Disorder of carbohydrate absorption,0.5
Z48,38,1,Neoplastic disease,0.5
U09,38,1,Post-acute COVID-19,0.5
K01,38,2,Impacted tooth,0.5
A69,38,3,Lyme disease,0.5
R43,38,2,Sensory disorder of smell and/or taste,0.5
D70,38,3,Neutropenia due to and following chemotherapy,0.5
M87,38,13,Osteonecrosis,0.5
I61,38,5,Spontaneous cerebral hemorrhage,0.5
D73,38,6,Disorder of spleen,0.5
S41,38,7,Laceration of upper arm,0.5
T75,37,3,Motion sickness,0.5
T63,37,10,Accidental poisoning,0.5
C43,37,13,Malignant melanoma of skin,0.5
M31,37,9,Temporal arteritis,0.5
N72,37,1,Inflammation of cervix,0.5
C67,36,11,Primary malignant neoplasm of urinary bladder,0.5
F48,36,2,Neurosis,0.5
L43,36,3,Lichen planus,0.5
L63,36,2,Alopecia areata,0.5
I96,36,1,Gangrenous disorder,0.5
T79,36,8,Traumatic subcutaneous emphysema,0.5
M00,35,15,Suppurative arthritis,0.5
I85,35,3,Esophageal varices without bleeding,0.5
I74,35,10,Thrombosis of iliac artery,0.5
N23,35,1,Renal colic,0.5
L56,35,4,Acute effect of ultraviolet radiation on normal skin,0.5
F44,35,5,Functional neurological disorder,0.5
O62,34,2,Uterine inertia,0.4
H34,34,10,Venous retinal branch occlusion,0.4
N34,34,4,Urethritis,0.4
I46,34,2,Cardiac arrest,0.4
O90,34,8,Finding related to pregnancy,0.4
I38,34,1,Valvular endocarditis,0.4
O10,34,8,"Pre-existing hypertension complicating pregnancy, childbirth and puerperium",0.4
L92,34,4,Granulomatous disorder of the skin and subcutaneous tissue,0.4
T07,34,1,Multiple injuries,0.4
W19,34,1,Late effect of accidental fall,0.4
A64,34,1,Sexually transmitted infectious disease,0.4
D57,34,10,Sickle cell trait,0.4
Z91,34,2,Allergic reaction caused by Hevea brasiliensis latex protein,0.4
T16,34,2,Foreign body in ear,0.4
I28,33,3,Disorder of pulmonary circulation,0.4
E72,33,9,Disorder of the urea cycle metabolism,0.4
H51,33,4,Strabismus,0.4
O92,32,6,Finding related to pregnancy,0.4
