gene	ancestry_scheme	ancestry	unrelated_only	n_haplotypes	n_persons	n_homopolymer_only	n_indel_nonhomopolymer	n_snv_plus_indel	n_snv_only	n_no_difference	frac_homopolymer_only
HLA-DQB1	strict	EUR	False	205	186	95	66	<20	27	0	0.4634146341463415
HLA-DQB1	strict	MID	False	54	50	<20	<20	<20	<20	0	0.3148148148148148
HLA-DQB1	strict	SAS	False	200	190	96	46	<20	42	0	0.48
HLA-DRB1	strict	POOLED	False	14272	9938	2284	6361	3411	2215	<20	0.16003363228699552
HLA-DRB1	strict	AFR	False	3068	2069	495	1073	876	624	0	0.16134289439374186
HLA-DRB1	strict	AMR	False	1936	1365	292	873	501	270	0	0.15082644628099173
HLA-DRB1	strict	EAS	False	1811	1166	522	613	481	194	<20	0.28823854224185536
HLA-DRB1	strict	EUR	False	1206	928	138	678	235	155	0	0.11442786069651742
HLA-DRB1	strict	MID	False	377	260	43	193	91	50	0	0.11405835543766578
HLA-DRB1	strict	SAS	False	1524	1022	220	657	302	345	0	0.14435695538057744
ALL	strict	POOLED	False	31886	11490	6778	10250	5048	8731	1079	0.21256977984068243
ALL	strict	AFR	False	7206	2313	1386	1953	1302	2278	287	0.19233971690258117
ALL	strict	AMR	False	3987	1570	790	1325	705	1042	125	0.1981439678956609
ALL	strict	EAS	False	4090	1269	1057	980	662	1283	108	0.2584352078239609
ALL	strict	EUR	False	2679	1204	628	1064	357	501	129	0.23441582680104517
ALL	strict	MID	False	809	296	152	288	135	218	<20	0.18788627935723115
ALL	strict	SAS	False	3436	1132	634	1063	440	1208	91	0.18451688009313155
HLA-A	strict	POOLED	True	724	696	246	259	35	103	81	0.3397790055248619
HLA-A	strict	AFR	True	156	152	64	43	<20	23	<20	0.41025641025641024
HLA-A	strict	AMR	True	73	70	28	26	<20	<20	<20	0.3835616438356164
HLA-A	strict	EAS	True	74	72	21	27	<20	<20	<20	0.28378378378378377
HLA-A	strict	EUR	True	75	73	21	31	<20	<20	<20	0.28
HLA-A	strict	MID	True	<20	<20	<20	<20	<20	<20	<20	
HLA-A	strict	SAS	True	58	57	22	21	<20	<20	<20	0.3793103448275862
HLA-B	strict	POOLED	True	2242	2110	484	271	117	917	453	0.215878679750223
HLA-B	strict	AFR	True	532	493	92	73	<20	228	122	0.17293233082706766
