gene	series	occurrence_bin	n_alleles	alleles_per_k
HLA-DQB1	cds_changing	3-4	0	0.0
HLA-DQB1	cds_changing	5-8	0	0.0
HLA-DQB1	cds_changing	9-16	1	0.125
HLA-DQB1	cds_changing	17-32	0	0.0
HLA-DQB1	cds_changing	33-64	0	0.0
HLA-DQB1	cds_changing	65-128	0	0.0
HLA-DQB1	cds_changing	129-256	0	0.0
HLA-DQB1	cds_changing	257-512	0	0.0
HLA-DQB1	cds_changing	513-1024	0	0.0
HLA-DQB1	cds_changing	>1024	0	0.0
HLA-DQB1	noncoding_only	1	26	26.0
HLA-DQB1	noncoding_only	2	7	7.0
HLA-DQB1	noncoding_only	3-4	3	1.5
HLA-DQB1	noncoding_only	5-8	3	0.75
HLA-DQB1	noncoding_only	9-16	3	0.375
HLA-DQB1	noncoding_only	17-32	2	0.125
HLA-DQB1	noncoding_only	33-64	5	0.15625
HLA-DQB1	noncoding_only	65-128	2	0.03125
HLA-DQB1	noncoding_only	129-256	4	0.03125
HLA-DQB1	noncoding_only	257-512	1	0.00390625
HLA-DQB1	noncoding_only	513-1024	1	0.001953125
HLA-DQB1	noncoding_only	>1024	0	0.0
HLA-DQB1	flagged_artifact	1	445	445.0
HLA-DQB1	flagged_artifact	2	27	27.0
HLA-DQB1	flagged_artifact	3-4	10	5.0
HLA-DQB1	flagged_artifact	5-8	5	1.25
HLA-DQB1	flagged_artifact	9-16	0	0.0
HLA-DQB1	flagged_artifact	17-32	0	0.0
HLA-DQB1	flagged_artifact	33-64	1	0.03125
HLA-DQB1	flagged_artifact	65-128	0	0.0
HLA-DQB1	flagged_artifact	129-256	0	0.0
HLA-DQB1	flagged_artifact	257-512	0	0.0
HLA-DQB1	flagged_artifact	513-1024	0	0.0
HLA-DQB1	flagged_artifact	>1024	0	0.0
HLA-DRB1	known	1	35	35.0
HLA-DRB1	known	2	15	15.0
HLA-DRB1	known	3-4	14	7.0
HLA-DRB1	known	5-8	15	3.75
HLA-DRB1	known	9-16	18	2.25
HLA-DRB1	known	17-32	11	0.6875
HLA-DRB1	known	33-64	16	0.5
HLA-DRB1	known	65-128	7	0.109375
HLA-DRB1	known	129-256	9	0.0703125
HLA-DRB1	known	257-512	7	0.02734375
HLA-DRB1	known	513-1024	2	0.00390625
HLA-DRB1	known	>1024	1	0.0009765625
HLA-DRB1	cds_changing	1	33	33.0
HLA-DRB1	cds_changing	2	3	3.0
