gene	resolution	design	target_ancestry	total_n	size_used	coverage	note
HLA-DMB	protein	actual_aou_composition	GLOBAL_MEAN	22588	22588	1.0	
HLA-DMB	protein	equal_allocation	AFR	22588	3226	0.9999257986839969	
HLA-DMB	protein	equal_allocation	AMR	22588	3020	1.0	
HLA-DMB	protein	equal_allocation	EAS	22588	2428	1.0	
HLA-DMB	protein	equal_allocation	EUR	22588	2473	1.0	
HLA-DMB	protein	equal_allocation	MID	22588	583	1.0	
HLA-DMB	protein	equal_allocation	SAS	22588	2211	0.9999999999999999	
HLA-DMB	protein	equal_allocation	UNASSIGNED	22588	3226	0.9992391710066354	
HLA-DMB	protein	equal_allocation	GLOBAL_MEAN	22588	17167	0.9997342594266714	
HLA-DMB	protein	94pct_eur_ukb_like	AFR	22588	3352	0.9999360463751703	
HLA-DMB	protein	94pct_eur_ukb_like	AMR	22588	3020	1.0	
HLA-DMB	protein	94pct_eur_ukb_like	EAS	22588	2428	1.0	
HLA-DMB	protein	94pct_eur_ukb_like	EUR	22588	2473	1.0	
HLA-DMB	protein	94pct_eur_ukb_like	MID	22588	583	1.0	
HLA-DMB	protein	94pct_eur_ukb_like	SAS	22588	2211	0.9999999999999999	
HLA-DMB	protein	94pct_eur_ukb_like	UNASSIGNED	22588	3352	0.9992618179362728	
HLA-DMB	protein	94pct_eur_ukb_like	GLOBAL_MEAN	22588	17419	0.9997437404235284	
HLA-DMB	protein	greedy_max_mean_coverage	AFR	22588	4414	1.0	
HLA-DMB	protein	greedy_max_mean_coverage	AMR	22588	3020	1.0	
HLA-DMB	protein	greedy_max_mean_coverage	EAS	22588	2428	1.0	
HLA-DMB	protein	greedy_max_mean_coverage	EUR	22588	2473	1.0	
HLA-DMB	protein	greedy_max_mean_coverage	MID	22588	583	1.0	
HLA-DMB	protein	greedy_max_mean_coverage	SAS	22588	2211	0.9999999999999999	
HLA-DMB	protein	greedy_max_mean_coverage	UNASSIGNED	22588	7459	1.0000000000000002	
HLA-DMB	protein	greedy_max_mean_coverage	GLOBAL_MEAN	22588	22588	1.0	
HLA-DOA	protein	actual_aou_composition	AFR	22611	4430	1.0	
HLA-DOA	protein	actual_aou_composition	AMR	22611	3016	0.9999999999999998	
HLA-DOA	protein	actual_aou_composition	EAS	22611	2426	1.0	
HLA-DOA	protein	actual_aou_composition	EUR	22611	2462	1.0	
HLA-DOA	protein	actual_aou_composition	MID	22611	579	1.0	
HLA-DOA	protein	actual_aou_composition	SAS	22611	2216	1.0	
HLA-DOA	protein	actual_aou_composition	UNASSIGNED	22611	7482	1.0	
HLA-DOA	protein	actual_aou_composition	GLOBAL_MEAN	22611	22611	1.0	
HLA-DOA	protein	equal_allocation	AFR	22611	3230	0.9997818100119739	
HLA-DOA	protein	equal_allocation	AMR	22611	3016	0.9999999999999998	
HLA-DOA	protein	equal_allocation	EAS	22611	2426	1.0	
HLA-DOA	protein	equal_allocation	EUR	22611	2462	1.0	
HLA-DOA	protein	equal_allocation	MID	22611	579	1.0	
HLA-DOA	protein	equal_allocation	SAS	22611	2216	1.0	
HLA-DOA	protein	equal_allocation	UNASSIGNED	22611	3230	0.9992854615785245	
HLA-DOA	protein	equal_allocation	GLOBAL_MEAN	22611	17159	0.9997208103084148	
HLA-DOA	protein	94pct_eur_ukb_like	AFR	22611	3358	0.9998060181113272	
HLA-DOA	protein	94pct_eur_ukb_like	AMR	22611	3016	0.9999999999999998	
HLA-DOA	protein	94pct_eur_ukb_like	EAS	22611	2426	1.0	
HLA-DOA	protein	94pct_eur_ukb_like	EUR	22611	2462	1.0	
HLA-DOA	protein	94pct_eur_ukb_like	MID	22611	579	1.0	
HLA-DOA	protein	94pct_eur_ukb_like	SAS	22611	2216	1.0	
HLA-DOA	protein	94pct_eur_ukb_like	UNASSIGNED	22611	3358	0.9993116211958298	
HLA-DOA	protein	94pct_eur_ukb_like	GLOBAL_MEAN	22611	17415	0.9997342094564761	
HLA-DOA	protein	greedy_max_mean_coverage	AFR	22611	4430	1.0	
HLA-DOA	protein	greedy_max_mean_coverage	AMR	22611	3016	0.9999999999999998	
HLA-DOA	protein	greedy_max_mean_coverage	EAS	22611	2426	1.0	
HLA-DOA	protein	greedy_max_mean_coverage	EUR	22611	2462	1.0	
HLA-DOA	protein	greedy_max_mean_coverage	MID	22611	579	1.0	
HLA-DOA	protein	greedy_max_mean_coverage	SAS	22611	2216	1.0	
