gene	resolution	ancestry	n_haplotypes	frac_in_imgt_today
HLA-HFE	protein	AFR	265	0.9886792452830189
HLA-HFE	protein	AMR	672	0.9895833333333334
HLA-HFE	protein	EAS	322	0.9968944099378882
HLA-HFE	protein	EUR	344	0.9709302325581395
HLA-HFE	protein	MID	74	1.0
HLA-HFE	protein	SAS	326	0.9938650306748467
HLA-HFE	protein	UNASSIGNED	947	0.989440337909187
HLA-J	protein	AFR	3643	1.0
HLA-J	protein	AMR	2428	1.0
HLA-J	protein	EAS	1825	1.0
HLA-J	protein	EUR	2145	1.0
HLA-J	protein	MID	501	1.0
HLA-J	protein	SAS	1798	1.0
HLA-J	protein	UNASSIGNED	6041	1.0
HLA-K	protein	AFR	361	1.0
HLA-K	protein	AMR	153	1.0
HLA-K	protein	EAS	31	1.0
HLA-K	protein	EUR	342	1.0
HLA-K	protein	MID	44	1.0
HLA-K	protein	SAS	169	1.0
HLA-K	protein	UNASSIGNED	691	1.0
HLA-L	protein	EUR	<20	0.0
HLA-N	protein	AFR	<20	0.0
HLA-P	protein	AFR	2884	1.0
HLA-P	protein	AMR	2401	1.0
HLA-P	protein	EAS	1694	1.0
HLA-P	protein	EUR	2092	1.0
HLA-P	protein	MID	456	1.0
HLA-P	protein	SAS	1700	1.0
HLA-P	protein	UNASSIGNED	5750	1.0
HLA-T	protein	AFR	3642	1.0
HLA-T	protein	AMR	2426	1.0
HLA-T	protein	EAS	1753	1.0
HLA-T	protein	EUR	2185	1.0
HLA-T	protein	MID	455	1.0
HLA-T	protein	SAS	1829	1.0
HLA-T	protein	UNASSIGNED	6199	1.0
HLA-U	protein	AFR	43	1.0
HLA-U	protein	AMR	77	1.0
HLA-U	protein	EUR	108	1.0
HLA-U	protein	MID	25	1.0
HLA-U	protein	SAS	81	1.0
HLA-U	protein	UNASSIGNED	222	0.9954954954954955
HLA-V	protein	AFR	<20	0.0
HLA-W	protein	AFR	554	1.0
HLA-W	protein	AMR	587	1.0
HLA-W	protein	EAS	320	1.0
HLA-W	protein	EUR	843	1.0
HLA-W	protein	MID	134	1.0
HLA-W	protein	SAS	576	1.0
HLA-W	protein	UNASSIGNED	1991	1.0
HLA-Y	protein	AMR	<20	1.0
HLA-Y	protein	EAS	88	1.0
HLA-Y	protein	UNASSIGNED	<20	1.0
MICA	protein	AFR	2655	0.9909604519774011
MICA	protein	AMR	2157	0.9958275382475661
MICA	protein	EAS	1806	0.9789590254706534
MICA	protein	EUR	1208	0.9958609271523179
MICA	protein	MID	452	0.995575221238938
MICA	protein	SAS	1510	0.9900662251655629
MICA	protein	UNASSIGNED	4749	0.9947357338387028
MICB	protein	AFR	4083	0.9838354151359294
MICB	protein	AMR	2816	0.9897017045454546
MICB	protein	EAS	2276	0.9978031634446397
MICB	protein	EUR	2255	0.9946784922394678
MICB	protein	MID	551	0.9963702359346642
MICB	protein	SAS	2053	0.9941548952752071
MICB	protein	UNASSIGNED	6862	0.9925677645001457
TAP1	protein	AFR	4191	0.8241469816272966
TAP1	protein	AMR	2891	0.9411968177101349
TAP1	protein	EAS	2313	0.9831387808041504
