gene	resolution	ancestry_ref	ancestry_target	m_ref	cross_coverage	unseen_in_target	is_diagonal
HLA-C	protein	AMR	MID	567.0	0.9662839285822264	0.010563347424017655	False
HLA-C	protein	AMR	SAS	567.0	0.954484963586514	0.0069648651179503585	False
HLA-C	protein	AMR	UNASSIGNED	567.0	0.9801899197103537	0.0054905836283482	False
HLA-C	protein	EAS	AFR	567.0	0.6251641653452339	0.005738577789294208	False
HLA-C	protein	EAS	AMR	567.0	0.8174531544837014	0.00475151491683623	False
HLA-C	protein	EAS	EAS	567.0	0.9904989587771539	0.005107831700426058	True
HLA-C	protein	EAS	EUR	567.0	0.8862988493356675	0.00747439299573005	False
HLA-C	protein	EAS	MID	567.0	0.7955337800915339	0.010563347424017655	False
HLA-C	protein	EAS	SAS	567.0	0.96045374211396	0.0069648651179503585	False
HLA-C	protein	EAS	UNASSIGNED	567.0	0.8113421763151093	0.0054905836283482	False
HLA-C	protein	EUR	AFR	567.0	0.8657255282600915	0.005738577789294208	False
HLA-C	protein	EUR	AMR	567.0	0.9066815566703321	0.00475151491683623	False
HLA-C	protein	EUR	EAS	567.0	0.8017065245758526	0.005107831700426058	False
HLA-C	protein	EUR	EUR	567.0	0.9905322691489646	0.00747439299573005	True
HLA-C	protein	EUR	MID	567.0	0.9427062273454625	0.010563347424017655	False
HLA-C	protein	EUR	SAS	567.0	0.856915720305626	0.0069648651179503585	False
HLA-C	protein	EUR	UNASSIGNED	567.0	0.939744782447023	0.0054905836283482	False
HLA-C	protein	MID	AFR	567.0	0.9625803489439851	0.005738577789294208	False
HLA-C	protein	MID	AMR	567.0	0.930753564154786	0.00475151491683623	False
HLA-C	protein	MID	EAS	567.0	0.8216262239250743	0.005107831700426058	False
HLA-C	protein	MID	EUR	567.0	0.9925249169435219	0.00747439299573005	False
HLA-C	protein	MID	MID	567.0	0.9999999999999998	0.010563347424017655	True
HLA-C	protein	MID	SAS	567.0	0.934974454249884	0.0069648651179503585	False
HLA-C	protein	MID	UNASSIGNED	567.0	0.9728208647906661	0.0054905836283482	False
HLA-C	protein	SAS	AFR	567.0	0.6869120835764221	0.005738577789294208	False
HLA-C	protein	SAS	AMR	567.0	0.8406700056420129	0.00475151491683623	False
HLA-C	protein	SAS	EAS	567.0	0.9632246615404672	0.005107831700426058	False
HLA-C	protein	SAS	EUR	567.0	0.9277668960630898	0.00747439299573005	False
HLA-C	protein	SAS	MID	567.0	0.8678015796515981	0.010563347424017655	False
HLA-C	protein	SAS	SAS	567.0	0.9901863023907171	0.0069648651179503585	True
HLA-C	protein	SAS	UNASSIGNED	567.0	0.8404408859813803	0.0054905836283482	False
HLA-C	protein	UNASSIGNED	AFR	567.0	0.9800268274520643	0.005738577789294208	False
HLA-C	protein	UNASSIGNED	AMR	567.0	0.9725675680303801	0.00475151491683623	False
HLA-C	protein	UNASSIGNED	EAS	567.0	0.9475527469192453	0.005107831700426058	False
HLA-C	protein	UNASSIGNED	EUR	567.0	0.992166727593348	0.00747439299573005	False
HLA-C	protein	UNASSIGNED	MID	567.0	0.9789063114234126	0.010563347424017655	False
HLA-C	protein	UNASSIGNED	SAS	567.0	0.9569051516251272	0.0069648651179503585	False
HLA-C	protein	UNASSIGNED	UNASSIGNED	567.0	0.9862314323690637	0.0054905836283482	True
HLA-DMA	protein	AFR	AFR	588.0	0.9965934651044783	0.0018189052228915203	True
HLA-DMA	protein	AFR	AMR	588.0	0.9945983291673173	0.0009984467866689384	False
HLA-DMA	protein	AFR	EAS	588.0	0.9944295527070469	0.0020505247963560347	False
HLA-DMA	protein	AFR	EUR	588.0	0.991622628427474	0.0020363279580029037	False
HLA-DMA	protein	AFR	MID	588.0	0.9944501335586663	0.0016949054664310292	False
HLA-DMA	protein	AFR	SAS	588.0	0.9913759098064112	0.001810773734509552	False
HLA-DMA	protein	AFR	UNASSIGNED	588.0	0.9954792097422852	0.0009351680392024608	False
HLA-DMA	protein	AMR	AFR	588.0	0.9946907457364632	0.0018189052228915203	False
HLA-DMA	protein	AMR	AMR	588.0	0.9982080719261816	0.0009984467866689384	True
HLA-DMA	protein	AMR	EAS	588.0	0.9957999385623445	0.0020505247963560347	False
HLA-DMA	protein	AMR	EUR	588.0	0.9966503554512988	0.0020363279580029037	False
HLA-DMA	protein	AMR	MID	588.0	0.9949985072101095	0.0016949054664310292	False
HLA-DMA	protein	AMR	SAS	588.0	0.9950156970947559	0.001810773734509552	False
HLA-DMA	protein	AMR	UNASSIGNED	588.0	0.9979580557569195	0.0009351680392024608	False
HLA-DMA	protein	EAS	AFR	588.0	0.9957813745700328	0.0018189052228915203	False
HLA-DMA	protein	EAS	AMR	588.0	0.9957159561162472	0.0009984467866689384	False
HLA-DMA	protein	EAS	EAS	588.0	0.9970967768118308	0.0020505247963560347	True
HLA-DMA	protein	EAS	EUR	588.0	0.993969511220209	0.0020363279580029037	False
HLA-DMA	protein	EAS	MID	588.0	0.9950060723490184	0.0016949054664310292	False
HLA-DMA	protein	EAS	SAS	588.0	0.9937484594505526	0.001810773734509552	False
HLA-DMA	protein	EAS	UNASSIGNED	588.0	0.9967645219241742	0.0009351680392024608	False
HLA-DMA	protein	EUR	AFR	588.0	0.9934605514700134	0.0018189052228915203	False
HLA-DMA	protein	EUR	AMR	588.0	0.9972256179576319	0.0009984467866689384	False
HLA-DMA	protein	EUR	EAS	588.0	0.9950779313601115	0.0020505247963560347	False
HLA-DMA	protein	EUR	EUR	588.0	0.9979065747414102	0.0020363279580029037	True
HLA-DMA	protein	EUR	MID	588.0	0.9931972696973749	0.0016949054664310292	False
HLA-DMA	protein	EUR	SAS	588.0	0.9950181102760969	0.001810773734509552	False
HLA-DMA	protein	EUR	UNASSIGNED	588.0	0.9974935822102893	0.0009351680392024608	False
HLA-DMA	protein	MID	AFR	588.0	0.997044110959527	0.0018189052228915203	False
HLA-DMA	protein	MID	AMR	588.0	0.9976697736351533	0.0009984467866689384	False
HLA-DMA	protein	MID	EAS	588.0	0.9975389663658735	0.0020505247963560347	False
HLA-DMA	protein	MID	EUR	588.0	0.9963340122199592	0.0020363279580029037	False
HLA-DMA	protein	MID	MID	588.0	1.0	0.0016949054664310292	True
HLA-DMA	protein	MID	SAS	588.0	0.9959239130434783	0.001810773734509552	False
HLA-DMA	protein	MID	UNASSIGNED	588.0	0.9987975951903807	0.0009351680392024608	False
HLA-DMA	protein	SAS	AFR	588.0	0.9934663714124745	0.0018189052228915203	False
HLA-DMA	protein	SAS	AMR	588.0	0.9970025931879702	0.0009984467866689384	False
HLA-DMA	protein	SAS	EAS	588.0	0.995267059826577	0.0020505247963560347	False
HLA-DMA	protein	SAS	EUR	588.0	0.9963321573342508	0.0020363279580029037	False
HLA-DMA	protein	SAS	MID	588.0	0.9939807181381505	0.0016949054664310292	False
HLA-DMA	protein	SAS	SAS	588.0	0.9971582770740576	0.001810773734509552	True
HLA-DMA	protein	SAS	UNASSIGNED	588.0	0.9975411186394695	0.0009351680392024608	False
HLA-DMA	protein	UNASSIGNED	AFR	588.0	0.9954394161253399	0.0018189052228915203	False
HLA-DMA	protein	UNASSIGNED	AMR	588.0	0.9974010877967606	0.0009984467866689384	False
HLA-DMA	protein	UNASSIGNED	EAS	588.0	0.9962239095841894	0.0020505247963560347	False
HLA-DMA	protein	UNASSIGNED	EUR	588.0	0.996364337858176	0.0020363279580029037	False
HLA-DMA	protein	UNASSIGNED	MID	588.0	0.9960476211677347	0.0016949054664310292	False
HLA-DMA	protein	UNASSIGNED	SAS	588.0	0.9951237373830117	0.001810773734509552	False
HLA-DMA	protein	UNASSIGNED	UNASSIGNED	588.0	0.9983210068089496	0.0009351680392024608	True
HLA-DMB	protein	AFR	AFR	583.0	0.998459778977215	0.0006795529818802715	True
HLA-DMB	protein	AFR	AMR	583.0	0.996756797069736	0.002317661454196207	False
HLA-DMB	protein	AFR	EAS	583.0	0.96814340408261	0.0024708303338284443	False
HLA-DMB	protein	AFR	EUR	583.0	0.9968142097289615	0.0012127744264641693	False
HLA-DMB	protein	AFR	MID	583.0	0.9993381609030513	0.0	False
HLA-DMB	protein	AFR	SAS	583.0	0.9881040528318857	0.0018087269232582859	False
HLA-DMB	protein	AFR	UNASSIGNED	583.0	0.9961374082916632	0.002010957479070208	False
HLA-DMB	protein	AMR	AFR	583.0	0.9976257940841567	0.0006795529818802715	False
HLA-DMB	protein	AMR	AMR	583.0	0.9976128990019846	0.002317661454196207	True
HLA-DMB	protein	AMR	EAS	583.0	0.9694915925470792	0.0024708303338284443	False
HLA-DMB	protein	AMR	EUR	583.0	0.998424706853682	0.0012127744264641693	False
