rarefied_to	n_reps	Dprime_multi_mean	Dprime_multi_lo	Dprime_multi_hi	cramers_v_mean	cramers_v_lo	cramers_v_hi	cramers_v_bc_mean	cramers_v_bc_lo	cramers_v_bc_hi	nmi_mean	nmi_lo	nmi_hi	n_alleles_a_mean	n_alleles_a_lo	n_alleles_a_hi	n_alleles_b_mean	n_alleles_b_lo	n_alleles_b_hi	pair	role	ancestry
570	500	0.8372424838231841	0.8372424838231842	0.8372424838231842	0.5781555356483764	0.5781555356483765	0.5781555356483765	0.5438038483421117	0.5438038483421117	0.5438038483421117	0.6880022397115458	0.688002239711546	0.688002239711546	8.0	8.0	8.0	25.0	25.0	25.0	DPA1~DPB1	ask	MID
570	500	0.8441733023262861	0.8083825988963572	0.8788109213332816	0.7031308324529434	0.6182154644200365	0.8036956967386233	0.6769387467217823	0.5870174972322816	0.7822288493311146	0.7111426810740311	0.6749706712546034	0.7528879192116276	8.012	6.0	10.0	24.644	21.0	28.0	DPA1~DPB1	ask	SAS
534	500	0.880439739636908	0.860426266234329	0.8992952622474736	0.6644935697409273	0.6069028984578905	0.7227586905352325	0.6256050822001828	0.5653906389503408	0.6865421568298274	0.7539040589584561	0.7251581944844064	0.7817057898849344	34.868	31.0	39.52499999999998	19.448	16.475	23.0	DRB1~DQB1	control_high	AFR
534	500	0.9197638670536554	0.9005932392731613	0.9376446866253739	0.7414284045040486	0.6783274835039741	0.8042437347588284	0.6954393214569783	0.6276239180621623	0.7607697311481513	0.8372552159321162	0.8092227571606185	0.8649588882018259	45.246	41.0	49.0	19.902	17.0	23.0	DRB1~DQB1	control_high	AMR
534	500	0.915957129292404	0.8984219801950147	0.9333748755339583	0.7982148474441394	0.7542946232110936	0.8423376234382547	0.7672648764539868	0.7196284007112181	0.8140833753507869	0.8223671718459432	0.7961480872011899	0.8489409180193992	35.776	31.0	40.0	16.286	15.0	18.0	DRB1~DQB1	control_high	EAS
534	500	0.9465700819072721	0.9322882069425429	0.9596493978598193	0.8044227385743914	0.747319062806446	0.8654375120231007	0.7772911452325302	0.7190584872013861	0.8391163129275873	0.8610149754296881	0.8372159327027571	0.8828040461709262	33.858	30.0	38.0	17.638	15.0	20.0	DRB1~DQB1	control_high	EUR
534	500	0.9490549333456696	0.9490549333456697	0.9490549333456697	0.6868868232273732	0.6868868232273732	0.6868868232273732	0.6530120254172548	0.6530120254172549	0.6530120254172549	0.8461002149959745	0.8461002149959743	0.8461002149959743	35.0	35.0	35.0	24.0	24.0	24.0	DRB1~DQB1	control_high	MID
534	500	0.9449810159559576	0.9284075471044518	0.9605465520890075	0.7615131842246329	0.7051129950161062	0.8180904011854311	0.7251169569722286	0.6648589033917519	0.7849965621645565	0.8286574011067118	0.8054252116078517	0.8528743637898429	38.922	34.475	43.52499999999998	18.43	16.0	21.0	DRB1~DQB1	control_high	SAS
512	500	0.8795390423986563	0.8571260196980938	0.9003318689470455	0.6780663163321806	0.6259536229788781	0.7303726009315277	0.6149765946171052	0.5608674538415397	0.6723056278393913	0.7531864605942908	0.7239620234998456	0.7852039248797671	53.7	48.0	60.0	30.382	26.0	35.0	B~C	control_high	AFR
512	500	0.8959580776157199	0.8768054572069035	0.9149054855496579	0.6831701079127837	0.6378213027393892	0.7283810216325628	0.5879520074428226	0.5336124941041693	0.6395620007733988	0.7650042356365182	0.7383706072255709	0.7929758696307966	74.408	68.0	81.0	34.758	30.0	39.0	B~C	control_high	AMR
512	500	0.8743945710091585	0.8511198996168498	0.8955097127129461	0.7265240283247927	0.6777572209692545	0.7761080646897079	0.6629429278472083	0.6093105107286306	0.7174592245210466	0.7654642159362489	0.736582609290449	0.7969054991070164	58.348	53.0	64.0	28.946	26.0	32.0	B~C	control_high	EAS
512	500	0.9048074940496792	0.8854718899447241	0.9239724278717599	0.7563620987976296	0.698340116966555	0.8208823377933462	0.7132419249912851	0.6478687896217825	0.7813720193935338	0.7932655557289408	0.7644478079979927	0.8243881062540024	45.502	40.0	51.0	24.974	21.0	29.0	B~C	control_high	EUR
512	500	0.9213150982614393	0.9213150982614391	0.9213150982614391	0.7150549511903318	0.7150549511903317	0.7150549511903317	0.6546383900802772	0.6546383900802771	0.6546383900802771	0.8038119854883382	0.8038119854883383	0.8038119854883383	57.0	57.0	57.0	33.0	33.0	33.0	B~C	control_high	MID
512	500	0.9106807310213297	0.8930102075061719	0.9278102645037434	0.7639971712726178	0.7115391295584241	0.8166183523035744	0.720030480789653	0.6634634947538955	0.7755901590371028	0.8075172470338562	0.78130727647941	0.8347756816802293	48.766	44.0	54.0	28.97	25.0	33.0	B~C	control_high	SAS
175	500	0.6916147848022068	0.6453437367282893	0.7361220347012845	0.4843394796527491	0.42542395980026054	0.5457565349633985	0.1380059389629559	0.0	0.29422211502667234	0.46250603495971604	0.4193625865712384	0.5054423853312001	26.908	24.0	30.0	38.352	33.0	43.0	A~B	control_weak	AFR
175	500	0.7390655303775302	0.6850860717386297	0.7897481369478419	0.5852158359636644	0.5210656969240488	0.656523504100912	0.24509932393954367	0.0	0.3826731978338624	0.5717131830624901	0.5236869515398733	0.6152874483465638	29.876	25.0	34.0	51.034	45.0	57.52499999999998	A~B	control_weak	AMR
175	500	0.668584829226596	0.6189855267501342	0.7201554389807507	0.6081960083481801	0.5330294412981241	0.6778817546013742	0.3583228608600699	0.22615044053912955	0.46562936982444925	0.5220384963971917	0.4708079058023039	0.567920661457488	21.268	18.0	25.0	45.256	40.0	51.0	A~B	control_weak	EAS
175	500	0.582606217982184	0.5224496963646759	0.644593674727411	0.5206653420407401	0.43981582854341034	0.6024862201133699	0.31569320741822254	0.15912188871757849	0.44057510345424944	0.4277876649475152	0.37297482111481245	0.4811155772802527	20.644	17.0	24.0	32.276	28.0	37.0	A~B	control_weak	EUR
175	500	0.7130363430236931	0.7130363430236931	0.7130363430236931	0.5057822796659738	0.5057822796659738	0.5057822796659738	0.17285936384100403	0.17285936384100403	0.17285936384100403	0.5060751198045815	0.5060751198045816	0.5060751198045816	24.0	24.0	24.0	41.0	41.0	41.0	A~B	control_weak	MID
175	500	0.64120658086479	0.5905057835710649	0.6967392975643686	0.5248227335150911	0.4537182773246306	0.5956760805271399	0.2701086864797636	0.08706257581027597	0.4007680521054796	0.45909586701163557	0.4120889686382244	0.5143155675463347	22.968	19.0	27.0	37.126	32.0	42.0	A~B	control_weak	SAS
