gene	category	ancestry	n_haplotypes_observed	factor	n_haplotypes_target	S_obs	extrapolated_richness	additional_alleles_projected
MICB	novel	EUR	4582	5	22910	335	1245.39	910.39
MICB	novel	EUR	4582	10	45820	335	1915.35	1580.35
MICB	novel	MID	821	2	1642	60	102.12	42.12
MICB	novel	MID	821	5	4105	60	199.46	139.46
MICB	novel	MID	821	10	8210	60	295.7	235.7
MICB	novel	SAS	2092	2	4184	143	259.19	116.19
MICB	novel	SAS	2092	5	10460	143	546.4	403.4
MICB	novel	SAS	2092	10	20920	143	871.41	728.41
MICB	novel	POOLED	19516	2	39032	1032	1859.53	827.53
MICB	novel	POOLED	19516	5	97580	1032	3771.74	2739.74
MICB	novel	POOLED	19516	10	195160	1032	5662.43	4630.43
TAP1	all	AFR	5925	2	11850	367	663.47	296.47
TAP1	all	AFR	5925	5	29625	367	1399.07	1032.07
TAP1	all	AFR	5925	10	59250	367	2237.71	1870.71
TAP1	all	AMR	5303	2	10606	326	578.54	252.54
TAP1	all	AMR	5303	5	26515	326	1105.12	779.12
TAP1	all	AMR	5303	10	53030	326	1529.01	1203.01
TAP1	all	EAS	2876	2	5752	183	338.14	155.14
TAP1	all	EAS	2876	5	14380	183	739.84	556.84
TAP1	all	EAS	2876	10	28760	183	1238.52	1055.52
TAP1	all	EUR	5890	2	11780	317	581.52	264.52
TAP1	all	EUR	5890	5	29450	317	1223.97	906.97
TAP1	all	EUR	5890	10	58900	317	1925.75	1608.75
TAP1	all	MID	951	2	1902	71	119.29	48.29
TAP1	all	MID	951	5	4755	71	219.78	148.78
TAP1	all	MID	951	10	9510	71	300.33	229.33
TAP1	all	SAS	2434	2	4868	136	251.09	115.09
TAP1	all	SAS	2434	5	12170	136	553.34	417.34
TAP1	all	SAS	2434	10	24340	136	939.45	803.45
TAP1	all	POOLED	23425	2	46850	1185	2153.88	968.88
TAP1	all	POOLED	23425	5	117125	1185	4401.09	3216.09
TAP1	all	POOLED	23425	10	234250	1185	6639.72	5454.72
TAP1	known	AFR	1232	2	2464	5	5.0	0.0
TAP1	known	AFR	1232	5	6160	5	5.0	0.0
TAP1	known	AFR	1232	10	12320	5	5.0	0.0
TAP1	known	AMR	2190	2	4380	5	5.0	0.0
TAP1	known	AMR	2190	5	10950	5	5.0	0.0
TAP1	known	AMR	2190	10	21900	5	5.0	0.0
TAP1	known	EAS	1074	2	2148	5	5.0	0.0
TAP1	known	EAS	1074	5	5370	5	5.0	0.0
TAP1	known	EAS	1074	10	10740	5	5.0	0.0
TAP1	known	EUR	2912	2	5824	5	5.0	0.0
TAP1	known	EUR	2912	5	14560	5	5.0	0.0
TAP1	known	EUR	2912	10	29120	5	5.0	0.0
TAP1	known	MID	433	2	866	5	5.0	0.0
TAP1	known	MID	433	5	2165	5	5.0	0.0
TAP1	known	MID	433	10	4330	5	5.0	0.0
TAP1	known	SAS	1153	2	2306	4	4.0	0.0
TAP1	known	SAS	1153	5	5765	4	4.0	0.0
TAP1	known	SAS	1153	10	11530	4	4.0	0.0
TAP1	known	POOLED	9002	2	18004	5	5.0	0.0
TAP1	known	POOLED	9002	5	45010	5	5.0	0.0
TAP1	known	POOLED	9002	10	90020	5	5.0	0.0
TAP1	novel	AFR	4722	2	9444	362	658.47	296.47
TAP1	novel	AFR	4722	5	23610	362	1394.06	1032.06
TAP1	novel	AFR	4722	10	47220	362	2232.68	1870.68
TAP1	novel	AMR	3149	2	6298	321	573.54	252.54
TAP1	novel	AMR	3149	5	15745	321	1100.09	779.09
TAP1	novel	AMR	3149	10	31490	321	1523.91	1202.91
TAP1	novel	EAS	1812	2	3624	178	333.14	155.14
TAP1	novel	EAS	1812	5	9060	178	734.82	556.82
TAP1	novel	EAS	1812	10	18120	178	1233.45	1055.45
TAP1	novel	EUR	3014	2	6028	312	576.51	264.51
TAP1	novel	EUR	3014	5	15070	312	1218.93	906.93
TAP1	novel	EUR	3014	10	30140	312	1920.64	1608.64
TAP1	novel	MID	523	2	1046	66	114.28	48.28
TAP1	novel	MID	523	5	2615	66	214.72	148.72
TAP1	novel	MID	523	10	5230	66	295.2	229.2
TAP1	novel	SAS	1294	2	2588	132	247.08	115.08
TAP1	novel	SAS	1294	5	6470	132	549.32	417.32
TAP1	novel	SAS	1294	10	12940	132	935.36	803.36
TAP1	novel	POOLED	14552	2	29104	1180	2148.88	968.88
TAP1	novel	POOLED	14552	5	72760	1180	4396.07	3216.07
TAP1	novel	POOLED	14552	10	145520	1180	6634.64	5454.64
TAP2	all	AFR	5960	2	11920	433	731.73	298.73
TAP2	all	AFR	5960	5	29800	433	1440.24	1007.24
TAP2	all	AFR	5960	10	59600	433	2178.24	1745.24
TAP2	all	AMR	5340	2	10680	391	635.95	244.95
TAP2	all	AMR	5340	5	26700	391	1122.92	731.92
TAP2	all	AMR	5340	10	53400	391	1479.27	1088.27
TAP2	all	EAS	2887	2	5774	257	437.27	180.27
TAP2	all	EAS	2887	5	14435	257	885.62	628.62
TAP2	all	EAS	2887	10	28870	257	1399.17	1142.17
TAP2	all	EUR	5922	2	11844	428	721.98	293.98
TAP2	all	EUR	5922	5	29610	428	1393.29	965.29
TAP2	all	EUR	5922	10	59220	428	2041.47	1613.47
TAP2	all	MID	953	2	1906	136	194.57	58.57
TAP2	all	MID	953	5	4765	136	266.28	130.28
TAP2	all	MID	953	10	9530	136	286.05	150.05
TAP2	all	SAS	2449	2	4898	204	330.56	126.56
TAP2	all	SAS	2449	5	12245	204	608.28	404.28
TAP2	all	SAS	2449	10	24490	204	855.91	651.91
TAP2	all	POOLED	23557	2	47114	1345	2392.25	1047.25
TAP2	all	POOLED	23557	5	117785	1345	4913.91	3568.91
TAP2	all	POOLED	23557	10	235570	1345	7621.35	6276.35
TAP2	known	AFR	1962	2	3924	61	68.52	7.52
TAP2	known	AFR	1962	5	9810	61	76.15	15.15
TAP2	known	AFR	1962	10	19620	61	77.58	16.58
TAP2	known	AMR	2247	2	4494	61	64.35	3.35
TAP2	known	AMR	2247	5	11235	61	65.08	4.08
TAP2	known	AMR	2247	10	22470	61	65.08	4.08
TAP2	known	EAS	1074	2	2148	46	54.47	8.47
TAP2	known	EAS	1074	5	5370	46	63.88	17.88
TAP2	known	EAS	1074	10	10740	46	66.0	20.0
TAP2	known	EUR	3150	2	6300	69	71.32	2.32
TAP2	known	EUR	3150	5	15750	69	71.57	2.57
TAP2	known	EUR	3150	10	31500	69	71.57	2.57
TAP2	known	MID	453	2	906	45	48.02	3.02
TAP2	known	MID	453	5	2265	45	48.49	3.49
TAP2	known	MID	453	10	4530	45	48.49	3.49
TAP2	known	SAS	974	2	1948	46	53.52	7.52
TAP2	known	SAS	974	5	4870	46	61.14	15.14
TAP2	known	SAS	974	10	9740	46	62.57	16.57
TAP2	known	POOLED	9879	2	19758	75	76.3	1.3
TAP2	known	POOLED	9879	5	49395	75	76.5	1.5
TAP2	known	POOLED	9879	10	98790	75	76.5	1.5
TAP2	novel	AFR	4038	2	8076	372	663.53	291.53
TAP2	novel	AFR	4038	5	20190	372	1376.1	1004.1
TAP2	novel	AFR	4038	10	40380	372	2164.41	1792.41
TAP2	novel	AMR	3130	2	6260	330	573.26	243.26
TAP2	novel	AMR	3130	5	15650	330	1094.14	764.14
TAP2	novel	AMR	3130	10	31300	330	1536.32	1206.32
TAP2	novel	EAS	1826	2	3652	211	383.13	172.13
TAP2	novel	EAS	1826	5	9130	211	835.02	624.02
TAP2	novel	EAS	1826	10	18260	211	1411.83	1200.83
TAP2	novel	EUR	2818	2	5636	359	653.46	294.46
TAP2	novel	EUR	2818	5	14090	359	1383.19	1024.19
TAP2	novel	EUR	2818	10	28180	359	2213.08	1854.08
TAP2	novel	MID	505	2	1010	91	148.08	57.08
TAP2	novel	MID	505	5	2525	91	240.0	149.0
TAP2	novel	MID	505	10	5050	91	284.09	193.09
TAP2	novel	SAS	1490	2	2980	158	277.32	119.32
TAP2	novel	SAS	1490	5	7450	158	556.97	398.97
TAP2	novel	SAS	1490	10	14900	158	841.45	683.45
TAP2	novel	POOLED	13834	2	27668	1270	2317.04	1047.04
TAP2	novel	POOLED	13834	5	69170	1270	4863.24	3593.24
TAP2	novel	POOLED	13834	10	138340	1270	7651.6	6381.6
