gene	category	ancestry	n_haplotypes_observed	factor	n_haplotypes_target	S_obs	extrapolated_richness	additional_alleles_projected
HLA-DPA2	all	MID	961	5	4805	33	66.35	33.35
HLA-DPA2	all	MID	961	10	9610	33	78.22	45.22
HLA-DPA2	all	SAS	2437	2	4874	52	82.17	30.17
HLA-DPA2	all	SAS	2437	5	12185	52	145.78	93.78
HLA-DPA2	all	SAS	2437	10	24370	52	198.13	146.13
HLA-DPA2	all	POOLED	23570	2	47140	432	757.94	325.94
HLA-DPA2	all	POOLED	23570	5	117850	432	1441.24	1009.24
HLA-DPA2	all	POOLED	23570	10	235700	432	1997.25	1565.25
HLA-DPA2	known	AFR	929	2	1858	5	5.0	0.0
HLA-DPA2	known	AFR	929	5	4645	5	5.0	0.0
HLA-DPA2	known	AFR	929	10	9290	5	5.0	0.0
HLA-DPA2	known	AMR	2333	2	4666	5	5.0	0.0
HLA-DPA2	known	AMR	2333	5	11665	5	5.0	0.0
HLA-DPA2	known	AMR	2333	10	23330	5	5.0	0.0
HLA-DPA2	known	EAS	744	2	1488	5	5.0	0.0
HLA-DPA2	known	EAS	744	5	3720	5	5.0	0.0
HLA-DPA2	known	EAS	744	10	7440	5	5.0	0.0
HLA-DPA2	known	EUR	2701	2	5402	5	5.0	0.0
HLA-DPA2	known	EUR	2701	5	13505	5	5.0	0.0
HLA-DPA2	known	EUR	2701	10	27010	5	5.0	0.0
HLA-DPA2	known	MID	419	2	838	4	4.0	0.0
HLA-DPA2	known	MID	419	5	2095	4	4.0	0.0
HLA-DPA2	known	MID	419	10	4190	4	4.0	0.0
HLA-DPA2	known	SAS	954	2	1908	5	5.0	0.0
HLA-DPA2	known	SAS	954	5	4770	5	5.0	0.0
HLA-DPA2	known	SAS	954	10	9540	5	5.0	0.0
HLA-DPA2	known	POOLED	8101	2	16202	6	6.0	0.0
HLA-DPA2	known	POOLED	8101	5	40505	6	6.0	0.0
HLA-DPA2	known	POOLED	8101	10	81010	6	6.0	0.0
HLA-DPA2	novel	AFR	5079	2	10158	144	255.2	111.2
HLA-DPA2	novel	AFR	5079	5	25395	144	527.87	383.87
HLA-DPA2	novel	AFR	5079	10	50790	144	831.48	687.48
HLA-DPA2	novel	AMR	3049	2	6098	113	187.61	74.61
HLA-DPA2	novel	AMR	3049	5	15245	113	334.94	221.94
HLA-DPA2	novel	AMR	3049	10	30490	113	441.29	328.29
HLA-DPA2	novel	EAS	2142	2	4284	79	130.67	51.67
HLA-DPA2	novel	EAS	2142	5	10710	79	222.99	143.99
HLA-DPA2	novel	EAS	2142	10	21420	79	277.54	198.54
HLA-DPA2	novel	EUR	3272	2	6544	119	214.1	95.1
HLA-DPA2	novel	EUR	3272	5	16360	119	457.35	338.35
HLA-DPA2	novel	EUR	3272	10	32720	119	752.05	633.05
HLA-DPA2	novel	MID	545	2	1090	29	41.17	12.17
HLA-DPA2	novel	MID	545	5	2725	29	62.34	33.34
HLA-DPA2	novel	MID	545	10	5450	29	74.19	45.19
HLA-DPA2	novel	SAS	1496	2	2992	47	76.18	29.18
HLA-DPA2	novel	SAS	1496	5	7480	47	137.03	90.03
HLA-DPA2	novel	SAS	1496	10	14960	47	186.04	139.04
HLA-DPA2	novel	POOLED	15607	2	31214	426	751.94	325.94
HLA-DPA2	novel	POOLED	15607	5	78035	426	1435.23	1009.23
HLA-DPA2	novel	POOLED	15607	10	156070	426	1991.23	1565.23
HLA-DPB1	all	AFR	5973	2	11946	377	575.48	198.48
HLA-DPB1	all	AFR	5973	5	29865	377	933.87	556.87
HLA-DPB1	all	AFR	5973	10	59730	377	1150.11	773.11
HLA-DPB1	all	AMR	5308	2	10616	354	505.86	151.86
HLA-DPB1	all	AMR	5308	5	26540	354	731.78	377.78
HLA-DPB1	all	AMR	5308	10	53080	354	824.16	470.16
HLA-DPB1	all	EAS	2870	2	5740	219	312.59	93.59
HLA-DPB1	all	EAS	2870	5	14350	219	448.02	229.02
HLA-DPB1	all	EAS	2870	10	28700	219	500.39	281.39
HLA-DPB1	all	EUR	5894	2	11788	356	514.13	158.13
HLA-DPB1	all	EUR	5894	5	29470	356	717.81	361.81
HLA-DPB1	all	EUR	5894	10	58940	356	780.08	424.08
HLA-DPB1	all	MID	958	2	1916	138	192.96	54.96
HLA-DPB1	all	MID	958	5	4790	138	265.64	127.64
HLA-DPB1	all	MID	958	10	9580	138	289.08	151.08
HLA-DPB1	all	SAS	2425	2	4850	176	254.71	78.71
HLA-DPB1	all	SAS	2425	5	12125	176	407.16	231.16
HLA-DPB1	all	SAS	2425	10	24250	176	513.03	337.03
HLA-DPB1	all	POOLED	23473	2	46946	942	1464.11	522.11
HLA-DPB1	all	POOLED	23473	5	117365	942	2460.24	1518.24
HLA-DPB1	all	POOLED	23473	10	234730	942	3131.46	2189.46
HLA-DPB1	known	AFR	4334	2	8668	148	183.84	35.84
HLA-DPB1	known	AFR	4334	5	21670	148	225.21	77.21
HLA-DPB1	known	AFR	4334	10	43340	148	235.34	87.34
HLA-DPB1	known	AMR	4365	2	8730	167	198.26	31.26
HLA-DPB1	known	AMR	4365	5	21825	167	224.19	57.19
HLA-DPB1	known	AMR	4365	10	43650	167	227.4	60.4
HLA-DPB1	known	EAS	2059	2	4118	113	132.2	19.2
HLA-DPB1	known	EAS	2059	5	10295	113	141.12	28.12
HLA-DPB1	known	EAS	2059	10	20590	113	141.43	28.43
HLA-DPB1	known	EUR	5075	2	10150	178	210.11	32.11
HLA-DPB1	known	EUR	5075	5	25375	178	224.55	46.55
HLA-DPB1	known	EUR	5075	10	50750	178	225.02	47.02
HLA-DPB1	known	MID	751	2	1502	85	108.5	23.5
HLA-DPB1	known	MID	751	5	3755	85	133.1	48.1
HLA-DPB1	known	MID	751	10	7510	85	138.03	53.03
HLA-DPB1	known	SAS	1863	2	3726	96	121.51	25.51
HLA-DPB1	known	SAS	1863	5	9315	96	162.25	66.25
HLA-DPB1	known	SAS	1863	10	18630	96	181.48	85.48
HLA-DPB1	known	POOLED	18483	2	36966	305	348.91	43.91
HLA-DPB1	known	POOLED	18483	5	92415	305	377.87	72.87
HLA-DPB1	known	POOLED	18483	10	184830	305	380.07	75.07
HLA-DPB1	novel	AFR	1674	2	3348	229	392.12	163.12
HLA-DPB1	novel	AFR	1674	5	8370	229	724.48	495.48
HLA-DPB1	novel	AFR	1674	10	16740	229	979.93	750.93
HLA-DPB1	novel	AMR	978	2	1956	187	308.44	121.44
HLA-DPB1	novel	AMR	978	5	4890	187	529.49	342.49
HLA-DPB1	novel	AMR	978	10	9780	187	665.06	478.06
HLA-DPB1	novel	EAS	836	2	1672	106	183.12	77.12
HLA-DPB1	novel	EAS	836	5	4180	106	373.59	267.59
HLA-DPB1	novel	EAS	836	10	8360	106	588.72	482.72
HLA-DPB1	novel	EUR	842	2	1684	178	307.84	129.84
HLA-DPB1	novel	EUR	842	5	4210	178	574.42	396.42
HLA-DPB1	novel	EUR	842	10	8420	178	782.47	604.47
HLA-DPB1	novel	MID	210	2	420	53	84.56	31.56
HLA-DPB1	novel	MID	210	5	1050	53	135.67	82.67
HLA-DPB1	novel	MID	210	10	2100	53	160.48	107.48
HLA-DPB1	novel	SAS	576	2	1152	80	133.26	53.26
HLA-DPB1	novel	SAS	576	5	2880	80	247.51	167.51
HLA-DPB1	novel	SAS	576	10	5760	80	344.84	264.84
HLA-DPB1	novel	POOLED	5125	2	10250	637	1118.96	481.96
HLA-DPB1	novel	POOLED	5125	5	25625	637	2190.24	1553.24
HLA-DPB1	novel	POOLED	5125	10	51250	637	3170.3	2533.3
HLA-DPB2	all	AFR	5886	2	11772	192	320.26	128.26
HLA-DPB2	all	AFR	5886	5	29430	192	564.67	372.67
HLA-DPB2	all	AFR	5886	10	58860	192	728.97	536.97
HLA-DPB2	all	AMR	5241	2	10482	159	271.62	112.62
HLA-DPB2	all	AMR	5241	5	26205	159	510.4	351.4
HLA-DPB2	all	AMR	5241	10	52410	159	709.12	550.12
HLA-DPB2	all	EAS	2839	2	5678	95	160.23	65.23
HLA-DPB2	all	EAS	2839	5	14195	95	308.26	213.26
HLA-DPB2	all	EAS	2839	10	28390	95	449.47	354.47
HLA-DPB2	all	EUR	5830	2	11660	190	324.08	134.08
HLA-DPB2	all	EUR	5830	5	29150	190	589.89	399.89
HLA-DPB2	all	EUR	5830	10	58300	190	783.3	593.3
HLA-DPB2	all	MID	952	2	1904	40	61.11	21.11
HLA-DPB2	all	MID	952	5	4760	40	106.26	66.26
HLA-DPB2	all	MID	952	10	9520	40	144.54	104.54
HLA-DPB2	all	SAS	2429	2	4858	90	155.15	65.15
HLA-DPB2	all	SAS	2429	5	12145	90	310.82	220.82
HLA-DPB2	all	SAS	2429	10	24290	90	475.43	385.43
HLA-DPB2	all	POOLED	23221	2	46442	567	980.82	413.82
HLA-DPB2	all	POOLED	23221	5	116105	567	1828.26	1261.26
HLA-DPB2	all	POOLED	23221	10	232210	567	2486.28	1919.28
HLA-DPB2	known	AFR	280	2	560	5	5.0	0.0
HLA-DPB2	known	AFR	280	5	1400	5	5.0	0.0
HLA-DPB2	known	AFR	280	10	2800	5	5.0	0.0
HLA-DPB2	known	AMR	616	2	1232	5	5.0	0.0
HLA-DPB2	known	AMR	616	5	3080	5	5.0	0.0
HLA-DPB2	known	AMR	616	10	6160	5	5.0	0.0
HLA-DPB2	known	EAS	382	2	764	4	4.0	0.0
HLA-DPB2	known	EAS	382	5	1910	4	4.0	0.0
HLA-DPB2	known	EAS	382	10	3820	4	4.0	0.0
HLA-DPB2	known	EUR	1237	2	2474	5	5.0	0.0
HLA-DPB2	known	EUR	1237	5	6185	5	5.0	0.0
HLA-DPB2	known	EUR	1237	10	12370	5	5.0	0.0
HLA-DPB2	known	MID	189	2	378	4	4.0	0.0
HLA-DPB2	known	MID	189	5	945	4	4.0	0.0
HLA-DPB2	known	MID	189	10	1890	4	4.0	0.0
HLA-DPB2	known	SAS	378	2	756	3	3.0	0.0
HLA-DPB2	known	SAS	378	5	1890	3	3.0	0.0
HLA-DPB2	known	SAS	378	10	3780	3	3.0	0.0
HLA-DPB2	known	POOLED	3088	2	6176	5	5.0	0.0
HLA-DPB2	known	POOLED	3088	5	15440	5	5.0	0.0
HLA-DPB2	known	POOLED	3088	10	30880	5	5.0	0.0
HLA-DPB2	novel	AFR	5615	2	11230	187	316.12	129.12
HLA-DPB2	novel	AFR	5615	5	28075	187	568.57	381.57
HLA-DPB2	novel	AFR	5615	10	56150	187	747.23	560.23
HLA-DPB2	novel	AMR	4638	2	9276	154	266.62	112.62
HLA-DPB2	novel	AMR	4638	5	23190	154	505.4	351.4
HLA-DPB2	novel	AMR	4638	10	46380	154	704.11	550.11
HLA-DPB2	novel	EAS	2461	2	4922	91	156.23	65.23
HLA-DPB2	novel	EAS	2461	5	12305	91	304.26	213.26
HLA-DPB2	novel	EAS	2461	10	24610	91	445.46	354.46
HLA-DPB2	novel	EUR	4610	2	9220	185	319.08	134.08
HLA-DPB2	novel	EUR	4610	5	23050	185	584.89	399.89
HLA-DPB2	novel	EUR	4610	10	46100	185	778.28	593.28
HLA-DPB2	novel	MID	764	2	1528	36	58.03	22.03
HLA-DPB2	novel	MID	764	5	3820	36	113.68	77.68
HLA-DPB2	novel	MID	764	10	7640	36	179.5	143.5
HLA-DPB2	novel	SAS	2055	2	4110	87	152.15	65.15
HLA-DPB2	novel	SAS	2055	5	10275	87	307.82	220.82
HLA-DPB2	novel	SAS	2055	10	20550	87	472.42	385.42
HLA-DPB2	novel	POOLED	20181	2	40362	562	975.82	413.82
HLA-DPB2	novel	POOLED	20181	5	100905	562	1823.26	1261.26
HLA-DPB2	novel	POOLED	20181	10	201810	562	2481.28	1919.28
HLA-DQA1	all	AFR	5965	2	11930	266	416.48	150.48
HLA-DQA1	all	AFR	5965	5	29825	266	762.1	496.1
HLA-DQA1	all	AFR	5965	10	59650	266	1099.7	833.7
HLA-DQA1	all	AMR	5340	2	10680	209	306.71	97.71
HLA-DQA1	all	AMR	5340	5	26700	209	504.44	295.44
HLA-DQA1	all	AMR	5340	10	53400	209	654.36	445.36
HLA-DQA1	all	EAS	2892	2	5784	142	192.42	50.42
HLA-DQA1	all	EAS	2892	5	14460	142	264.88	122.88
HLA-DQA1	all	EAS	2892	10	28920	142	292.5	150.5
HLA-DQA1	all	EUR	5893	2	11786	221	333.85	112.85
HLA-DQA1	all	EUR	5893	5	29465	221	560.41	339.41
HLA-DQA1	all	EUR	5893	10	58930	221	729.46	508.46
HLA-DQA1	all	MID	954	2	1908	93	114.59	21.59
HLA-DQA1	all	MID	954	5	4770	93	135.78	42.78
HLA-DQA1	all	MID	954	10	9540	93	139.5	46.5
HLA-DQA1	all	SAS	2453	2	4906	127	179.19	52.19
HLA-DQA1	all	SAS	2453	5	12265	127	259.43	132.43
HLA-DQA1	all	SAS	2453	10	24530	127	294.5	167.5
HLA-DQA1	all	POOLED	23543	2	47086	603	998.63	395.63
HLA-DQA1	all	POOLED	23543	5	117715	603	1876.86	1273.86
HLA-DQA1	all	POOLED	23543	10	235430	603	2678.18	2075.18
HLA-DQA1	known	AFR	4933	2	9866	95	102.96	7.96
HLA-DQA1	known	AFR	4933	5	24665	95	106.91	11.91
HLA-DQA1	known	AFR	4933	10	49330	95	107.07	12.07
HLA-DQA1	known	AMR	4677	2	9354	96	108.85	12.85
HLA-DQA1	known	AMR	4677	5	23385	96	122.15	26.15
HLA-DQA1	known	AMR	4677	10	46770	96	124.75	28.75
HLA-DQA1	known	EAS	2371	2	4742	76	81.19	5.19
HLA-DQA1	known	EAS	2371	5	11855	76	82.0	6.0
HLA-DQA1	known	EAS	2371	10	23710	76	82.0	6.0
HLA-DQA1	known	EUR	5080	2	10160	96	111.02	15.02
HLA-DQA1	known	EUR	5080	5	25400	96	121.87	25.87
HLA-DQA1	known	EUR	5080	10	50800	96	122.87	26.87
HLA-DQA1	known	MID	789	2	1578	63	70.95	7.95
HLA-DQA1	known	MID	789	5	3945	63	74.89	11.89
HLA-DQA1	known	MID	789	10	7890	63	75.06	12.06
HLA-DQA1	known	SAS	1947	2	3894	64	72.34	8.34
HLA-DQA1	known	SAS	1947	5	9735	64	76.12	12.12
HLA-DQA1	known	SAS	1947	10	19470	64	76.24	12.24
HLA-DQA1	known	POOLED	19837	2	39674	140	148.29	8.29
HLA-DQA1	known	POOLED	19837	5	99185	140	150.64	10.64
HLA-DQA1	known	POOLED	19837	10	198370	140	150.67	10.67
HLA-DQA1	novel	AFR	1099	2	2198	171	315.06	144.06
HLA-DQA1	novel	AFR	1099	5	5495	171	703.31	532.31
HLA-DQA1	novel	AFR	1099	10	10990	171	1225.49	1054.49
HLA-DQA1	novel	AMR	718	2	1436	113	198.24	85.24
HLA-DQA1	novel	AMR	718	5	3590	113	395.75	282.75
HLA-DQA1	novel	AMR	718	10	7180	113	592.13	479.13
HLA-DQA1	novel	EAS	548	2	1096	66	113.99	47.99
HLA-DQA1	novel	EAS	548	5	2740	66	246.5	180.5
HLA-DQA1	novel	EAS	548	10	5480	66	433.62	367.62
HLA-DQA1	novel	EUR	870	2	1740	125	224.09	99.09
HLA-DQA1	novel	EUR	870	5	4350	125	479.07	354.07
HLA-DQA1	novel	EUR	870	10	8700	125	791.69	666.69
HLA-DQA1	novel	MID	174	2	348	30	44.14	14.14
HLA-DQA1	novel	MID	174	5	870	30	70.34	40.34
HLA-DQA1	novel	MID	174	10	1740	30	87.0	57.0
HLA-DQA1	novel	SAS	516	2	1032	63	108.11	45.11
HLA-DQA1	novel	SAS	516	5	2580	63	214.01	151.01
HLA-DQA1	novel	SAS	516	10	5160	63	322.09	259.09
HLA-DQA1	novel	POOLED	3931	2	7862	463	853.69	390.69
HLA-DQA1	novel	POOLED	3931	5	19655	463	1812.38	1349.38
HLA-DQA1	novel	POOLED	3931	10	39310	463	2881.39	2418.39
HLA-DQA2	all	AFR	6034	2	12068	135	217.56	82.56
HLA-DQA2	all	AFR	6034	5	30170	135	386.5	251.5
HLA-DQA2	all	AFR	6034	10	60340	135	517.45	382.45
HLA-DQA2	all	AMR	5395	2	10790	128	211.26	83.26
HLA-DQA2	all	AMR	5395	5	26975	128	403.15	275.15
HLA-DQA2	all	AMR	5395	10	53950	128	591.89	463.89
HLA-DQA2	all	EAS	2907	2	5814	82	128.31	46.31
HLA-DQA2	all	EAS	2907	5	14535	82	223.36	141.36
HLA-DQA2	all	EAS	2907	10	29070	82	297.51	215.51
HLA-DQA2	all	EUR	5959	2	11918	123	205.18	82.18
HLA-DQA2	all	EUR	5959	5	29795	123	401.96	278.96
HLA-DQA2	all	EUR	5959	10	59590	123	610.85	487.85
HLA-DQA2	all	MID	967	2	1934	40	52.17	12.17
HLA-DQA2	all	MID	967	5	4835	40	73.35	33.35
HLA-DQA2	all	MID	967	10	9670	40	85.22	45.22
HLA-DQA2	all	SAS	2463	2	4926	62	94.16	32.16
HLA-DQA2	all	SAS	2463	5	12315	62	163.31	101.31
HLA-DQA2	all	SAS	2463	10	24630	62	222.48	160.48
HLA-DQA2	all	POOLED	23771	2	47542	392	688.98	296.98
HLA-DQA2	all	POOLED	23771	5	118855	392	1368.85	976.85
HLA-DQA2	all	POOLED	23771	10	237710	392	2028.66	1636.66
HLA-DQA2	known	AFR	2748	2	5496	23	24.3	1.3
HLA-DQA2	known	AFR	2748	5	13740	23	24.5	1.5
HLA-DQA2	known	AFR	2748	10	27480	23	24.5	1.5
HLA-DQA2	known	AMR	3361	2	6722	20	20.43	0.43
HLA-DQA2	known	AMR	3361	5	16805	20	20.5	0.5
HLA-DQA2	known	AMR	3361	10	33610	20	20.5	0.5
HLA-DQA2	known	EAS	1704	2	3408	22	23.3	1.3
HLA-DQA2	known	EAS	1704	5	8520	22	23.5	1.5
HLA-DQA2	known	EAS	1704	10	17040	22	23.5	1.5
HLA-DQA2	known	EUR	3364	2	6728	22	22.0	0.0
HLA-DQA2	known	EUR	3364	5	16820	22	22.0	0.0
HLA-DQA2	known	EUR	3364	10	33640	22	22.0	0.0
HLA-DQA2	known	MID	544	2	1088	20	23.15	3.15
HLA-DQA2	known	MID	544	5	2720	20	26.91	6.91
HLA-DQA2	known	MID	544	10	5440	20	27.9	7.9
HLA-DQA2	known	SAS	1347	2	2694	19	19.86	0.86
HLA-DQA2	known	SAS	1347	5	6735	19	20.0	1.0
HLA-DQA2	known	SAS	1347	10	13470	19	20.0	1.0
HLA-DQA2	known	POOLED	13099	2	26198	25	25.0	0.0
HLA-DQA2	known	POOLED	13099	5	65495	25	25.0	0.0
HLA-DQA2	known	POOLED	13099	10	130990	25	25.0	0.0
HLA-DQA2	novel	AFR	3346	2	6692	112	194.26	82.26
HLA-DQA2	novel	AFR	3346	5	16730	112	383.29	271.29
HLA-DQA2	novel	AFR	3346	10	33460	112	568.12	456.12
HLA-DQA2	novel	AMR	2077	2	4154	108	191.18	83.18
HLA-DQA2	novel	AMR	2077	5	10385	108	390.83	282.83
HLA-DQA2	novel	AMR	2077	10	20770	108	603.81	495.81
HLA-DQA2	novel	EAS	1230	2	2460	60	106.05	46.05
HLA-DQA2	novel	EAS	1230	5	6150	60	223.25	163.25
HLA-DQA2	novel	EAS	1230	10	12300	60	363.83	303.83
HLA-DQA2	novel	EUR	2649	2	5298	101	185.07	84.07
HLA-DQA2	novel	EUR	2649	5	13245	101	405.11	304.11
HLA-DQA2	novel	EUR	2649	10	26490	101	684.28	583.28
HLA-DQA2	novel	MID	429	2	858	20	29.06	9.06
HLA-DQA2	novel	MID	429	5	2145	20	47.51	27.51
HLA-DQA2	novel	MID	429	10	4290	20	61.67	41.67
HLA-DQA2	novel	SAS	1126	2	2252	43	73.17	30.17
HLA-DQA2	novel	SAS	1126	5	5630	43	136.76	93.76
HLA-DQA2	novel	SAS	1126	10	11260	43	189.08	146.08
HLA-DQA2	novel	POOLED	10872	2	21744	367	665.81	298.81
HLA-DQA2	novel	POOLED	10872	5	54360	367	1366.52	999.52
HLA-DQA2	novel	POOLED	10872	10	108720	367	2080.05	1713.05
HLA-DQB1	all	AFR	5938	2	11876	278	429.07	151.07
HLA-DQB1	all	AFR	5938	5	29690	278	695.96	417.96
HLA-DQB1	all	AFR	5938	10	59380	278	850.11	572.11
HLA-DQB1	all	AMR	5319	2	10638	253	404.75	151.75
HLA-DQB1	all	AMR	5319	5	26595	253	732.1	479.1
HLA-DQB1	all	AMR	5319	10	53190	253	1014.12	761.12
HLA-DQB1	all	EAS	2884	2	5768	141	209.12	68.12
HLA-DQB1	all	EAS	2884	5	14420	141	323.86	182.86
HLA-DQB1	all	EAS	2884	10	28840	141	384.08	243.08
HLA-DQB1	all	EUR	5891	2	11782	249	404.47	155.47
HLA-DQB1	all	EUR	5891	5	29455	249	764.35	515.35
HLA-DQB1	all	EUR	5891	10	58910	249	1121.47	872.47
HLA-DQB1	all	MID	956	2	1912	92	124.2	32.2
HLA-DQB1	all	MID	956	5	4780	92	166.14	74.14
HLA-DQB1	all	MID	956	10	9560	92	179.25	87.25
HLA-DQB1	all	SAS	2448	2	4896	135	196.05	61.05
HLA-DQB1	all	SAS	2448	5	12240	135	297.75	162.75
HLA-DQB1	all	SAS	2448	10	24480	135	349.97	214.97
HLA-DQB1	all	POOLED	23482	2	46964	750	1243.27	493.27
HLA-DQB1	all	POOLED	23482	5	117410	750	2208.48	1458.48
HLA-DQB1	all	POOLED	23482	10	234820	750	2892.66	2142.66
HLA-DQB1	known	AFR	5121	2	10242	81	89.69	8.69
HLA-DQB1	known	AFR	5121	5	25605	81	92.59	11.59
HLA-DQB1	known	AFR	5121	10	51210	81	92.63	11.63
HLA-DQB1	known	AMR	4750	2	9500	91	112.07	21.07
HLA-DQB1	known	AMR	4750	5	23750	91	136.52	45.52
HLA-DQB1	known	AMR	4750	10	47500	91	142.57	51.57
HLA-DQB1	known	EAS	2552	2	5104	63	74.38	11.38
HLA-DQB1	known	EAS	2552	5	12760	63	80.66	17.66
HLA-DQB1	known	EAS	2552	10	25520	63	80.99	17.99
HLA-DQB1	known	EUR	5302	2	10604	95	123.09	28.09
HLA-DQB1	known	EUR	5302	5	26510	95	159.25	64.25
HLA-DQB1	known	EUR	5302	10	53020	95	170.3	75.3
HLA-DQB1	known	MID	850	2	1700	56	67.25	11.25
HLA-DQB1	known	MID	850	5	4250	56	76.25	20.25
HLA-DQB1	known	MID	850	10	8500	56	77.28	21.28
HLA-DQB1	known	SAS	2192	2	4384	64	74.66	10.66
HLA-DQB1	known	SAS	2192	5	10960	64	81.73	17.73
HLA-DQB1	known	SAS	2192	10	21920	64	82.27	18.27
HLA-DQB1	known	POOLED	20811	2	41622	170	198.05	28.05
HLA-DQB1	known	POOLED	20811	5	104055	170	211.77	41.77
HLA-DQB1	known	POOLED	20811	10	208110	170	212.32	42.32
HLA-DQB1	novel	AFR	858	2	1716	197	341.66	144.66
HLA-DQB1	novel	AFR	858	5	4290	197	656.04	459.04
HLA-DQB1	novel	AFR	858	10	8580	197	930.96	733.96
HLA-DQB1	novel	AMR	612	2	1224	162	293.21	131.21
HLA-DQB1	novel	AMR	612	5	3060	162	615.56	453.56
HLA-DQB1	novel	AMR	612	10	6120	162	975.84	813.84
HLA-DQB1	novel	EAS	359	2	718	78	136.08	58.08
HLA-DQB1	novel	EAS	359	5	1795	78	279.6	201.6
HLA-DQB1	novel	EAS	359	10	3590	78	441.86	363.86
HLA-DQB1	novel	EUR	629	2	1258	154	282.04	128.04
HLA-DQB1	novel	EUR	629	5	3145	154	632.72	478.72
HLA-DQB1	novel	EUR	629	10	6290	154	1119.89	965.89
HLA-DQB1	novel	MID	115	2	230	36	57.19	21.19
HLA-DQB1	novel	MID	115	5	575	36	96.42	60.42
HLA-DQB1	novel	MID	115	10	1150	36	121.31	85.31
HLA-DQB1	novel	SAS	264	2	528	71	122.16	51.16
HLA-DQB1	novel	SAS	264	5	1320	71	237.6	166.6
HLA-DQB1	novel	SAS	264	10	2640	71	346.43	275.43
HLA-DQB1	novel	POOLED	2839	2	5678	580	1049.63	469.63
HLA-DQB1	novel	POOLED	2839	5	14195	580	2115.51	1535.51
HLA-DQB1	novel	POOLED	2839	10	28390	580	3132.18	2552.18
HLA-DQB2	all	AFR	6017	2	12034	149	243.61	94.61
HLA-DQB2	all	AFR	6017	5	30085	149	439.19	290.19
HLA-DQB2	all	AFR	6017	10	60170	149	593.95	444.95
HLA-DQB2	all	AMR	5402	2	10804	145	226.97	81.97
HLA-DQB2	all	AMR	5402	5	27010	145	376.99	231.99
HLA-DQB2	all	AMR	5402	10	54020	145	470.0	325.0
HLA-DQB2	all	EAS	2904	2	5808	69	103.55	34.55
HLA-DQB2	all	EAS	2904	5	14520	69	162.16	93.16
HLA-DQB2	all	EAS	2904	10	29040	69	193.34	124.34
HLA-DQB2	all	EUR	5965	2	11930	147	241.4	94.4
HLA-DQB2	all	EUR	5965	5	29825	147	450.03	303.03
HLA-DQB2	all	EUR	5965	10	59650	147	638.73	491.73
HLA-DQB2	all	MID	966	2	1932	47	63.29	16.29
HLA-DQB2	all	MID	966	5	4830	47	90.13	43.13
HLA-DQB2	all	MID	966	10	9660	47	103.61	56.61
HLA-DQB2	all	SAS	2471	2	4942	91	148.25	57.25
HLA-DQB2	all	SAS	2471	5	12355	91	273.73	182.73
HLA-DQB2	all	SAS	2471	10	24710	91	385.31	294.31
HLA-DQB2	all	POOLED	23770	2	47540	445	765.86	320.86
HLA-DQB2	all	POOLED	23770	5	118850	445	1441.71	996.71
HLA-DQB2	all	POOLED	23770	10	237700	445	1996.94	1551.94
HLA-DQB2	known	AFR	3070	2	6140	22	22.43	0.43
HLA-DQB2	known	AFR	3070	5	15350	22	22.5	0.5
HLA-DQB2	known	AFR	3070	10	30700	22	22.5	0.5
HLA-DQB2	known	AMR	3528	2	7056	25	25.0	0.0
HLA-DQB2	known	AMR	3528	5	17640	25	25.0	0.0
HLA-DQB2	known	AMR	3528	10	35280	25	25.0	0.0
HLA-DQB2	known	EAS	1567	2	3134	21	21.4	0.4
HLA-DQB2	known	EAS	1567	5	7835	21	21.4	0.4
HLA-DQB2	known	EAS	1567	10	15670	21	21.4	0.4
HLA-DQB2	known	EUR	3970	2	7940	23	23.0	0.0
HLA-DQB2	known	EUR	3970	5	19850	23	23.0	0.0
HLA-DQB2	known	EUR	3970	10	39700	23	23.0	0.0
HLA-DQB2	known	MID	594	2	1188	19	20.89	1.89
HLA-DQB2	known	MID	594	5	2970	19	21.94	2.94
HLA-DQB2	known	MID	594	10	5940	19	21.99	2.99
HLA-DQB2	known	SAS	1640	2	3280	19	21.92	2.92
HLA-DQB2	known	SAS	1640	5	8200	19	24.58	5.58
HLA-DQB2	known	SAS	1640	10	16400	19	24.98	5.98
HLA-DQB2	known	POOLED	14400	2	28800	27	27.0	0.0
HLA-DQB2	known	POOLED	14400	5	72000	27	27.0	0.0
HLA-DQB2	known	POOLED	14400	10	144000	27	27.0	0.0
HLA-DQB2	novel	AFR	3007	2	6014	127	221.5	94.5
HLA-DQB2	novel	AFR	3007	5	15035	127	423.39	296.39
HLA-DQB2	novel	AFR	3007	10	30070	127	594.02	467.02
HLA-DQB2	novel	AMR	1922	2	3844	120	202.81	82.81
HLA-DQB2	novel	AMR	1922	5	9610	120	360.46	240.46
HLA-DQB2	novel	AMR	1922	10	19220	120	466.24	346.24
HLA-DQB2	novel	EAS	1366	2	2732	48	85.02	37.02
HLA-DQB2	novel	EAS	1366	5	6830	48	185.05	137.05
HLA-DQB2	novel	EAS	1366	10	13660	48	320.36	272.36
HLA-DQB2	novel	EUR	2044	2	4088	124	217.4	93.4
HLA-DQB2	novel	EUR	2044	5	10220	124	423.19	299.19
HLA-DQB2	novel	EUR	2044	10	20440	124	608.2	484.2
HLA-DQB2	novel	MID	376	2	752	28	41.33	13.33
